pk,oa_id,doi,source
10.1038/s41598-022-07650-1,W4220744737,10.1038/s41598-022-07650-1,original
10.1029/2022gl099583,W4297901210,10.1029/2022gl099583,original
10.1029/2019jb017354,W2945426829,10.1029/2019jb017354,original
10.1016/j.rse.2024.114303,W4400310314,10.1016/j.rse.2024.114303,original
10.1016/j.asr.2015.08.034,W1779719684,10.1016/j.asr.2015.08.034,original
10.1126/sciadv.adx0298,W4412695734,10.1126/sciadv.adx0298,original
10.1016/j.geog.2021.10.003,W3212212952,10.1016/j.geog.2021.10.003,original
10.1111/gwat.12995,W3009490961,10.1111/gwat.12995,original
10.3390/geosciences10020071,W3005870091,10.3390/geosciences10020071,original
10.1111/1752-1688.12898,W3119416817,10.1111/1752-1688.12898,original
10.1029/2018wr022723,W2897929979,10.1029/2018wr022723,original
10.3390/rs15020449,W4315795728,10.3390/rs15020449,original
10.21203/rs.3.rs-1614517/v1,W4281561206,10.21203/rs.3.rs-1614517/v1,original
10.1029/2021jb021735,W3197087628,10.1029/2021jb021735,original
10.1016/j.envsoft.2025.106368,W4407430708,10.1016/j.envsoft.2025.106368,original
10.1029/2011eo120015,W2011658792,10.1029/2011eo120015,original
oa::W2535799428,W2535799428,,original
oa::W846450479,W846450479,,original
oa::W2809886065,W2809886065,,original
10.22541/essoar.15002172/v1,W7154723010,10.22541/essoar.15002172/v1,original
10.3390/rs17223683,W4416124466,10.3390/rs17223683,original
10.1007/978-3-031-26588-4_40,W4387331732,10.1007/978-3-031-26588-4_40,original
oa::W2800075117,W2800075117,,original
oa::W3013109293,W3013109293,,region_gap
10.5281/zenodo.19412339,W7149637957,10.5281/zenodo.19412339,original
10.26480/bdwre.01.2020.10.15,W3103886274,10.26480/bdwre.01.2020.10.15,original
10.3389/fenvs.2025.1672694,W4415017431,10.3389/fenvs.2025.1672694,original
10.1029/2010jd014689,W1977248758,10.1029/2010jd014689,original
10.1080/02626667.2024.2412741,W4403197791,10.1080/02626667.2024.2412741,original
10.13168/agg.2016.0035,W2550561869,10.13168/agg.2016.0035,original
10.5194/egusphere-2022-1032,W4311604965,10.5194/egusphere-2022-1032,original
10.1590/2317-4889202120200079,W3161990299,10.1590/2317-4889202120200079,original
10.1590/s0102-261x2007000400010,W2075860953,10.1590/s0102-261x2007000400010,original
oa::W2252422502,W2252422502,,original
10.1002/2013wr014581,W2091232816,10.1002/2013wr014581,original
10.1002/grl.50655,W1731032083,10.1002/grl.50655,original
10.1029/2009wr008564,W1937808031,10.1029/2009wr008564,original
10.1016/s0022-1694(02)00060-4,W1978536336,10.1016/s0022-1694(02)00060-4,original
10.1029/2007gl030139,W2061770662,10.1029/2007gl030139,original
10.1029/2008wr006892,W2126909543,10.1029/2008wr006892,original
10.1029/2017wr022178,W2800833485,10.1029/2017wr022178,original
10.1002/2014gl061206,W2166866435,10.1002/2014gl061206,original
10.1002/2014gl061213,W1484371867,10.1002/2014gl061213,original
10.1029/2010gl043231,W1543805450,10.1029/2010gl043231,original
10.3390/environments6060063,W2948053842,10.3390/environments6060063,original
10.3390/hydrology6010019,W2912187179,10.3390/hydrology6010019,original
10.1175/jhm-d-19-0096.1,W2990661042,10.1175/jhm-d-19-0096.1,original
10.1016/j.advwatres.2016.04.014,W2346074228,10.1016/j.advwatres.2016.04.014,original
10.1029/2018wr023836,W2888371459,10.1029/2018wr023836,original
10.5194/hess-17-1475-2013,W2167276880,10.5194/hess-17-1475-2013,original
10.1029/2023gl103419,W4386378975,10.1029/2023gl103419,original
10.1002/2015wr018085,W2297826855,10.1002/2015wr018085,original
10.3390/rs12142257,W3043677445,10.3390/rs12142257,original
10.1002/2015wr018329,W2297659267,10.1002/2015wr018329,original
10.1111/1752-1688.13133,W4376573522,10.1111/1752-1688.13133,original
10.1111/1752-1688.12798,W2971369349,10.1111/1752-1688.12798,original
10.1080/24694452.2020.1782724,W3083549141,10.1080/24694452.2020.1782724,original
10.5194/isprsarchives-xl-8-329-2014,W2042896897,10.5194/isprsarchives-xl-8-329-2014,original
oa::W2622671957,W2622671957,,original
10.1029/2025ef006653,W7144123599,10.1029/2025ef006653,original
oa::W7110702704,W7110702704,,region_gap
10.1038/nature08238,W2000674771,10.1038/nature08238,original
10.1038/nclimate2425,W1982546148,10.1038/nclimate2425,original
10.1029/2009gl039401,W1971918252,10.1029/2009gl039401,original
10.1038/ngeo2869,W2568836777,10.1038/ngeo2869,original
10.1038/srep24398,W2338161951,10.1038/srep24398,original
10.1016/j.gloplacha.2014.02.007,W1981130750,10.1016/j.gloplacha.2014.02.007,original
10.1029/2011wr010993,W1646523040,10.1029/2011wr010993,original
10.1007/s13201-022-01652-0,W4224002797,10.1007/s13201-022-01652-0,original
10.1029/2019wr026284,W2995007302,10.1029/2019wr026284,original
10.1016/j.jhydrol.2016.10.042,W2548901601,10.1016/j.jhydrol.2016.10.042,original
10.1002/2016gl071407,W2555491613,10.1002/2016gl071407,original
10.1175/jhm-d-16-0047.1,W2557321466,10.1175/jhm-d-16-0047.1,original
10.3390/rs13173513,W3197848683,10.3390/rs13173513,original
10.1016/j.gsd.2020.100376,W3010984228,10.1016/j.gsd.2020.100376,original
10.1016/j.jhydrol.2018.02.005,W2791403504,10.1016/j.jhydrol.2018.02.005,original
10.1002/2015wr018113,W2291436080,10.1002/2015wr018113,original
10.1016/j.scitotenv.2022.156044,W4280509258,10.1016/j.scitotenv.2022.156044,original
10.1016/j.jhydrol.2021.127315,W4200025572,10.1016/j.jhydrol.2021.127315,original
10.5194/esd-11-755-2020,W2972365774,10.5194/esd-11-755-2020,original
10.5194/hess-21-3041-2017,W2630636919,10.5194/hess-21-3041-2017,original
10.1016/j.gloplacha.2015.09.007,W1834701122,10.1016/j.gloplacha.2015.09.007,original
10.1016/j.jhydrol.2021.126069,W3130269368,10.1016/j.jhydrol.2021.126069,original
10.1002/2015gl066616,W2203575519,10.1002/2015gl066616,region_gap
10.1073/pnas.1207346109,W2025484444,10.1073/pnas.1207346109,original
10.1088/1748-9326/ac2ceb,W3204737793,10.1088/1748-9326/ac2ceb,original
10.1016/j.ijdrr.2019.101068,W2908659848,10.1016/j.ijdrr.2019.101068,original
10.5194/esd-11-775-2020,W3000329065,10.5194/esd-11-775-2020,original
10.1080/02626667.2020.1716238,W2999867583,10.1080/02626667.2020.1716238,original
10.1007/s12040-019-1148-z,W2944797764,10.1007/s12040-019-1148-z,original
10.1038/s41598-017-04159-w,W2672856063,10.1038/s41598-017-04159-w,original
10.1016/j.gsd.2021.100559,W3127467826,10.1016/j.gsd.2021.100559,original
10.1029/2019jb018892,W3109950241,10.1029/2019jb018892,original
10.1038/s41598-022-18511-2,W4295901299,10.1038/s41598-022-18511-2,original
10.1016/j.gsd.2019.100307,W2990225380,10.1016/j.gsd.2019.100307,original
10.1029/2020jd033566,W3108422573,10.1029/2020jd033566,original
10.1021/acsestengg.0c00238,W3157601298,10.1021/acsestengg.0c00238,original
10.1029/2023wr035882,W4400651583,10.1029/2023wr035882,original
10.1029/2018jf004943,W2997590863,10.1029/2018jf004943,original
10.1080/01431161.2020.1797218,W3087943857,10.1080/01431161.2020.1797218,original
10.1002/hyp.14003,W3110666842,10.1002/hyp.14003,original
10.1016/j.scitotenv.2022.159289,W4302773526,10.1016/j.scitotenv.2022.159289,original
10.1007/s41976-019-00026-6,W2984316053,10.1007/s41976-019-00026-6,original
10.1029/2021ef002513,W4220918415,10.1029/2021ef002513,original
10.1016/j.envc.2024.100874,W4391888808,10.1016/j.envc.2024.100874,original
10.1016/j.ejrh.2020.100681,W3016970809,10.1016/j.ejrh.2020.100681,original
10.1038/s41598-023-28615-y,W4318700663,10.1038/s41598-023-28615-y,original
10.5194/hess-26-4169-2022,W4293159275,10.5194/hess-26-4169-2022,original
10.1029/2024ef004516,W4401370271,10.1029/2024ef004516,original
10.1016/j.pepi.2014.03.002,W1978242902,10.1016/j.pepi.2014.03.002,original
10.1016/j.quaint.2018.10.036,W2898608113,10.1016/j.quaint.2018.10.036,original
10.26480/bdwre.01.2020.13.18,W4256347109,10.26480/bdwre.01.2020.13.18,original
10.1080/01431161.2020.1763503,W3042332580,10.1080/01431161.2020.1763503,original
10.1007/s40899-017-0109-4,W2597890811,10.1007/s40899-017-0109-4,original
10.1007/s11069-011-9793-9,W1982437933,10.1007/s11069-011-9793-9,original
10.1007/s11269-018-2070-x,W2884268480,10.1007/s11269-018-2070-x,original
10.1007/s40899-020-00399-3,W3028324937,10.1007/s40899-020-00399-3,original
10.1029/2022wr034243,W4386952123,10.1029/2022wr034243,region_gap
10.1109/tgrs.2023.3305863,W4385834486,10.1109/tgrs.2023.3305863,original
10.1007/s12665-021-09905-y,W3196028865,10.1007/s12665-021-09905-y,original
10.1029/2024wr038279,W4407681992,10.1029/2024wr038279,original
10.1007/s12665-023-11137-1,W4386391229,10.1007/s12665-023-11137-1,original
10.1016/j.iswcr.2020.06.004,W3041240598,10.1016/j.iswcr.2020.06.004,original
10.31577/congeo.2022.52.1.1,W4224997522,10.31577/congeo.2022.52.1.1,original
10.1016/j.scitotenv.2024.170932,W4391781877,10.1016/j.scitotenv.2024.170932,original
10.2166/hydro.2021.108,W3133916087,10.2166/hydro.2021.108,original
10.1175/jhm-d-20-0085.1,W3088778249,10.1175/jhm-d-20-0085.1,original
10.3390/w14203254,W4306404238,10.3390/w14203254,original
10.1016/j.heliyon.2024.e24481,W4391062695,10.1016/j.heliyon.2024.e24481,original
10.1016/j.rsase.2021.100685,W4206902147,10.1016/j.rsase.2021.100685,original
10.1007/s12524-022-01580-1,W4286816995,10.1007/s12524-022-01580-1,original
10.1007/s10661-024-12309-7,W4390893035,10.1007/s10661-024-12309-7,original
10.3390/w14233852,W4310201057,10.3390/w14233852,original
10.5194/isprs-annals-iv-5-129-2018,W2901749833,10.5194/isprs-annals-iv-5-129-2018,original
10.5194/hess-26-4515-2022,W4295242112,10.5194/hess-26-4515-2022,original
10.3390/su15021572,W4315864415,10.3390/su15021572,original
10.1007/978-3-030-67932-3_11,W3182594560,10.1007/978-3-030-67932-3_11,original
10.5194/hess-2022-39,W4224123612,10.5194/hess-2022-39,original
10.5194/isprs-archives-xlviii-1-w2-2023-1319-2023,W4389738181,10.5194/isprs-archives-xlviii-1-w2-2023-1319-2023,original
10.1007/s12517-012-0629-z,W2067487332,10.1007/s12517-012-0629-z,original
10.1080/02626667.2024.2403720,W4403216812,10.1080/02626667.2024.2403720,original
10.1007/s11053-024-10312-w,W4392042245,10.1007/s11053-024-10312-w,original
10.1007/s10661-024-13174-0,W4403042277,10.1007/s10661-024-13174-0,original
10.5194/isprs-archives-xlviii-m-3-2023-95-2023,W4386447062,10.5194/isprs-archives-xlviii-m-3-2023-95-2023,original
10.2166/ws.2024.173,W4401019641,10.2166/ws.2024.173,original
10.25103/jestr.181.19,W4408109105,10.25103/jestr.181.19,original
10.1061/(asce)he.1943-5584.0001670,W2801622173,10.1061/(asce)he.1943-5584.0001670,original
10.5194/isprs-archives-xlviii-1-w2-2023-1265-2023,W4389764487,10.5194/isprs-archives-xlviii-1-w2-2023-1265-2023,original
10.47884/jweam.v1i3pp26-32,W3129519520,10.47884/jweam.v1i3pp26-32,original
10.1109/igarss52108.2023.10283323,W4387828719,10.1109/igarss52108.2023.10283323,original
10.1007/s11356-025-37274-7,W4417245277,10.1007/s11356-025-37274-7,original
10.2139/ssrn.6215477,W7128538465,10.2139/ssrn.6215477,original
10.1016/j.rsase.2026.101929,W7128920409,10.1016/j.rsase.2026.101929,original
10.5194/egusphere-egu2020-6125,W3098173682,10.5194/egusphere-egu2020-6125,original
10.5194/egusphere-egu26-1643,W7135198678,10.5194/egusphere-egu26-1643,original
10.21275/sr251028130626,W7127980664,10.21275/sr251028130626,original
10.1007/s12665-026-12891-8,W7134945159,10.1007/s12665-026-12891-8,original
10.3808/jeil.202400163,W4415050229,10.3808/jeil.202400163,original
10.1109/icassp39728.2021.9413591,W3093683794,10.1109/icassp39728.2021.9413591,original
10.5194/hess-2023-37,W4323044389,10.5194/hess-2023-37,region_gap
10.5194/hess-28-1527-2024,W4393965785,10.5194/hess-28-1527-2024,region_gap
10.64672/ijifr/25.08.12.12.018,W4413858976,10.64672/ijifr/25.08.12.12.018,original
10.1029/2025jb032730,W7130412685,10.1029/2025jb032730,original
10.1016/j.epsl.2016.06.002,W2426956916,10.1016/j.epsl.2016.06.002,original
10.1002/2015wr017797,W2260509705,10.1002/2015wr017797,original
10.1029/2018jd029552,W2914361363,10.1029/2018jd029552,original
10.1029/2018ef000939,W2898205374,10.1029/2018ef000939,original
10.3390/rs15040873,W4319298550,10.3390/rs15040873,original
10.1016/j.jhydrol.2022.128295,W4291172155,10.1016/j.jhydrol.2022.128295,original
10.1109/jstars.2016.2574378,W2474384442,10.1109/jstars.2016.2574378,original
10.1016/j.jhydrol.2021.127369,W4200616574,10.1016/j.jhydrol.2021.127369,original
10.1016/j.scitotenv.2021.149366,W3189244987,10.1016/j.scitotenv.2021.149366,original
10.1007/s10661-017-5846-1,W2594358888,10.1007/s10661-017-5846-1,original
10.1016/j.gsd.2023.100990,W4384497161,10.1016/j.gsd.2023.100990,original
10.1109/access.2020.2984794,W3014180464,10.1109/access.2020.2984794,original
10.3390/su13179686,W3196848396,10.3390/su13179686,original
10.1016/j.agwat.2023.108545,W4387510980,10.1016/j.agwat.2023.108545,original
10.1007/s12594-012-0180-2,W1490376882,10.1007/s12594-012-0180-2,original
10.1007/s41101-022-00169-6,W4311177370,10.1007/s41101-022-00169-6,original
10.1029/2020wr028654,W3138529858,10.1029/2020wr028654,original
10.3390/rs15184469,W4386639387,10.3390/rs15184469,original
10.1061/9780784482322.011,W2963419005,10.1061/9780784482322.011,original
10.1016/j.rsase.2025.101639,W4411965992,10.1016/j.rsase.2025.101639,original
10.1016/j.agwat.2025.110017,W7107949971,10.1016/j.agwat.2025.110017,original
10.34917/15778507,W2991344323,10.34917/15778507,original
10.22541/au.160861850.04202692/v1,W3123371689,10.22541/au.160861850.04202692/v1,original
10.1109/icosst60641.2023.10414232,W4391381500,10.1109/icosst60641.2023.10414232,original
10.1002/essoar.10508130.1,W3202496528,10.1002/essoar.10508130.1,original
10.21203/rs.3.rs-3864359/v1,W4391360517,10.21203/rs.3.rs-3864359/v1,original
10.3389/feart.2025.1551218,W4414026921,10.3389/feart.2025.1551218,original
10.3390/hydrology12120330,W4417247347,10.3390/hydrology12120330,original
10.1016/j.ejrh.2026.103278,W7131365732,10.1016/j.ejrh.2026.103278,original
10.22541/essoar.173395770.08839790/v1,W4405269718,10.22541/essoar.173395770.08839790/v1,original
10.3389/feart.2025.1551218.s002,W7110931093,10.3389/feart.2025.1551218.s002,region_gap
10.1175/jcli-d-16-0209.1,W2523375332,10.1175/jcli-d-16-0209.1,original
10.5194/esd-5-15-2014,W2153971255,10.5194/esd-5-15-2014,region_gap
10.1007/s10040-006-0103-7,W1990716986,10.1007/s10040-006-0103-7,region_gap
10.1175/2007jhm951.1,W1970438763,10.1175/2007jhm951.1,region_gap
10.1002/2013jd020792,W1511398861,10.1002/2013jd020792,region_gap
10.1029/2005gl024851,W2139207699,10.1029/2005gl024851,region_gap
10.1029/2020wr027556,W3096945879,10.1029/2020wr027556,original
10.1175/1520-0442(2004)017<2039:icitws>2.0.co;2,W2176864264,10.1175/1520-0442(2004)017<2039:icitws>2.0.co;2,region_gap
10.5194/hess-14-59-2010,W2040142713,10.5194/hess-14-59-2010,region_gap
10.1175/jhm480.1,W2024595536,10.1175/jhm480.1,region_gap
10.1038/s41598-020-75710-5,W3097750640,10.1038/s41598-020-75710-5,region_gap
10.1029/2018jb016596,W2945995916,10.1029/2018jb016596,region_gap
10.1002/2017jd027706,W2790724767,10.1002/2017jd027706,region_gap
10.1029/2018wr023278,W2913114650,10.1029/2018wr023278,region_gap
10.3390/rs15092247,W4366829907,10.3390/rs15092247,region_gap
10.1007/s00190-009-0301-x,W1986136425,10.1007/s00190-009-0301-x,region_gap
10.2166/wp.2021.039,W3171069342,10.2166/wp.2021.039,region_gap
10.1016/j.ejrh.2023.101342,W4321507063,10.1016/j.ejrh.2023.101342,original
10.3390/s23146428,W4384557636,10.3390/s23146428,original
10.3390/rs16224285,W4404501617,10.3390/rs16224285,original
10.3390/hydrology11110186,W4403979555,10.3390/hydrology11110186,original
oa::W2804076582,W2804076582,,original
10.5772/intechopen.96109,W3131784727,10.5772/intechopen.96109,region_gap
10.5194/isprs-archives-xlvi-m-2-2022-131-2022,W4287832719,10.5194/isprs-archives-xlvi-m-2-2022-131-2022,region_gap
10.3390/limnolrev25030039,W4413376324,10.3390/limnolrev25030039,region_gap
10.31390/gradschool_theses.5513,W4283025414,10.31390/gradschool_theses.5513,region_gap
10.3390/rs18111680,W7162093779,10.3390/rs18111680,region_gap
10.1029/2008wr007333,W2132012867,10.1029/2008wr007333,original
10.1016/j.rse.2017.10.029,W2767496663,10.1016/j.rse.2017.10.029,original
10.1029/2011gl050263,W2130801915,10.1029/2011gl050263,original
10.1029/2011wr010714,W1560979562,10.1029/2011wr010714,original
10.1080/08120099.2010.512645,W2115234023,10.1080/08120099.2010.512645,original
10.1016/j.jag.2019.101927,W2966999739,10.1016/j.jag.2019.101927,original
10.1080/08120091003619241,W2122154990,10.1080/08120091003619241,original
oa::W3014327826,W3014327826,,original
10.3390/w9090614,W2753539080,10.3390/w9090614,original
10.1088/1755-1315/540/1/012054,W3047491246,10.1088/1755-1315/540/1/012054,original
10.1016/j.jhydrol.2024.132489,W4405285876,10.1016/j.jhydrol.2024.132489,original
oa::W227994681,W227994681,,original
10.1051/e3sconf/201913101067,W2991366681,10.1051/e3sconf/201913101067,original
oa::W2246962051,W2246962051,,original
oa::W2114242633,W2114242633,,original
10.18419/opus-3838,W1547472719,10.18419/opus-3838,original
oa::W1594900726,W1594900726,,original
oa::W2211681890,W2211681890,,original
10.1016/j.ejrh.2025.102832,W4415043204,10.1016/j.ejrh.2025.102832,original
10.1038/s41598-025-01938-8,W4410760898,10.1038/s41598-025-01938-8,region_gap
10.5281/zenodo.17911502,W7116063339,10.5281/zenodo.17911502,original
10.1002/wrcr.20192,W1548430664,10.1002/wrcr.20192,original
10.1002/2014gl062498,W1937577420,10.1002/2014gl062498,original
10.1038/s41467-020-17103-w,W3041100341,10.1038/s41467-020-17103-w,original
10.3390/rs10050674,W2799831353,10.3390/rs10050674,original
10.1002/2016gl071287,W2556455217,10.1002/2016gl071287,original
10.1016/j.jhydrol.2020.124849,W3011887313,10.1016/j.jhydrol.2020.124849,original
10.1029/2017jd027468,W2803410606,10.1029/2017jd027468,original
10.5194/nhess-16-469-2016,W2279441186,10.5194/nhess-16-469-2016,original
10.1002/grl.50790,W1857145603,10.1002/grl.50790,original
10.1029/2020wr027413,W3013705383,10.1029/2020wr027413,original
10.4314/wsa.v35i5.49192,W1984920621,10.4314/wsa.v35i5.49192,original
10.3390/rs10030483,W2793477278,10.3390/rs10030483,original
10.3390/rs11243050,W2996675831,10.3390/rs11243050,original
10.1016/j.scitotenv.2023.168239,W4388342081,10.1016/j.scitotenv.2023.168239,original
10.1080/02626667.2014.916406,W2060195285,10.1080/02626667.2014.916406,original
10.1002/2015jb012608,W2337516789,10.1002/2015jb012608,original
10.5194/hess-21-2905-2017,W2533414466,10.5194/hess-21-2905-2017,original
10.1016/j.jhydrol.2021.126933,W3199887002,10.1016/j.jhydrol.2021.126933,original
10.1016/j.jag.2021.102560,W3203430873,10.1016/j.jag.2021.102560,original
10.1029/2020wr027102,W3097963976,10.1029/2020wr027102,original
10.3390/s19194144,W2975407161,10.3390/s19194144,region_gap
10.3390/s16091495,W2520888286,10.3390/s16091495,original
10.1016/j.jhydrol.2020.125348,W3047171122,10.1016/j.jhydrol.2020.125348,original
10.1016/j.wace.2021.100393,W3207093619,10.1016/j.wace.2021.100393,original
10.1155/2017/8254824,W2772393661,10.1155/2017/8254824,original
10.3390/s20030922,W3004648353,10.3390/s20030922,original
10.3390/s141019861,W2004661976,10.3390/s141019861,original
10.3390/rs10020259,W2793448975,10.3390/rs10020259,original
10.1016/j.ejrh.2022.101085,W4223974194,10.1016/j.ejrh.2022.101085,original
10.1016/j.ecolind.2024.111925,W4393370978,10.1016/j.ecolind.2024.111925,original
10.1002/hyp.9276,W1524410996,10.1002/hyp.9276,original
10.3390/s21010046,W3116774688,10.3390/s21010046,original
10.3390/rs12050845,W3009660516,10.3390/rs12050845,original
10.1007/s11430-011-4280-4,W2254803554,10.1007/s11430-011-4280-4,original
10.1016/j.jhydrol.2022.127799,W4224286513,10.1016/j.jhydrol.2022.127799,original
10.1080/02626667.2011.553617,W1990661809,10.1080/02626667.2011.553617,original
10.3390/rs12132151,W3039838296,10.3390/rs12132151,original
10.1109/access.2021.3049118,W3119186476,10.1109/access.2021.3049118,original
10.1155/2014/578372,W2085689148,10.1155/2014/578372,original
10.1016/j.geog.2019.05.002,W2948737600,10.1016/j.geog.2019.05.002,original
10.3390/su14031108,W4206520240,10.3390/su14031108,original
10.1029/2022wr033261,W4327966866,10.1029/2022wr033261,original
10.3390/w13172378,W3197125086,10.3390/w13172378,original
10.3390/atmos14020250,W4318478078,10.3390/atmos14020250,original
10.1175/jhm-d-20-0095.1,W3095030912,10.1175/jhm-d-20-0095.1,original
10.3390/rs13091851,W3162978293,10.3390/rs13091851,original
10.1029/2022wr034365,W4387675583,10.1029/2022wr034365,original
10.1029/2022jd038074,W4389230908,10.1029/2022jd038074,original
10.1016/j.ejrh.2021.100955,W3211187840,10.1016/j.ejrh.2021.100955,original
10.3390/rs14225683,W4308694240,10.3390/rs14225683,original
10.1111/gwat.13253,W4295350356,10.1111/gwat.13253,original
10.2166/nh.2018.087,W2783538041,10.2166/nh.2018.087,original
10.1029/2024wr038996,W4412418678,10.1029/2024wr038996,original
10.3390/atmos14060961,W4378904892,10.3390/atmos14060961,original
10.3390/rs15133264,W4382136083,10.3390/rs15133264,original
10.1007/s00704-023-04441-0,W4362578933,10.1007/s00704-023-04441-0,original
10.1134/s0097807823010153,W4366808746,10.1134/s0097807823010153,original
10.1016/j.ejrh.2023.101528,W4386802396,10.1016/j.ejrh.2023.101528,original
10.26599/jgse.2025.9280040,W4408310136,10.26599/jgse.2025.9280040,original
10.11947/j.agcs.2018.20170171,W2991695056,10.11947/j.agcs.2018.20170171,original
10.1029/2023wr035210,W4404107793,10.1029/2023wr035210,original
10.1109/jstars.2024.3507853,W4404788921,10.1109/jstars.2024.3507853,original
10.1007/s10291-024-01794-5,W4405173472,10.1007/s10291-024-01794-5,original
10.1029/2023wr036105,W4400241517,10.1029/2023wr036105,original
10.1038/s41598-024-67611-8,W4400871774,10.1038/s41598-024-67611-8,region_gap
oa::W2186347331,W2186347331,,original
10.1038/s43247-024-01209-w,W4391051234,10.1038/s43247-024-01209-w,original
10.5194/hess-2016-313,W2496309334,10.5194/hess-2016-313,original
10.3389/fenvs.2022.840540,W4293219165,10.3389/fenvs.2022.840540,original
10.3390/w15132343,W4382137019,10.3390/w15132343,original
10.2139/ssrn.5105505,W4406679349,10.2139/ssrn.5105505,original
10.1093/gji/ggaf407,W4415704017,10.1093/gji/ggaf407,original
10.1007/s41748-025-00976-6,W7116712179,10.1007/s41748-025-00976-6,original
10.1111/gwat.13497,W4411207544,10.1111/gwat.13497,original
10.3390/rs17162785,W4413129766,10.3390/rs17162785,original
10.5194/hess-2016-552-supplement,W4253903072,10.5194/hess-2016-552-supplement,original
10.3390/rs17193336,W4414672186,10.3390/rs17193336,original
10.1016/j.ejrh.2026.103103,W7118830384,10.1016/j.ejrh.2026.103103,original
10.3390/w18030357,W7126244732,10.3390/w18030357,original
10.1029/2025wr042085,W7131670794,10.1029/2025wr042085,original
10.1002/wrcr.20078,W1480234772,10.1002/wrcr.20078,original
