paper_id,doi,region,first_author,year,flagship,policy_title,policy_publisher,policy_country,policy_url,policy_published_on
291,10.1007/s10040-006-0103-7,mississippi,Matthew Rodell,2006,1,Integration of Climate Data in the SAVi Irrigation Model,The International Institute for Sustainable Development,CA,https://www.iisd.org/system/files/2020-09/intregration-climate-data-savi-irrigation-model.pdf,2025-02-26 00:00:00 UTC
426,10.3390/rs10060829,north_china_plain;murray,Frédéric Frappart,2018,0,The 2022 GCOS ECVs Requirements,World Meteorological Organization (WMO),CH,https://library.wmo.int/viewer/58111/download?file=GCOS-245-ECVs-Requ-2022-Upd-2025_en.pdf&type=pdf&navigator=1,2025-01-01 00:00:00 UTC
268,10.1029/2020wr028654,indus,Indira Bose,2021,0,Green Technology Book: Energy solutions for climate change in Asia and the Pacific,World Intellectual Property Organization,CH,https://www.wipo.int/edocs/pubdocs/en/wipo-pub-2016-en-green-technology-book-energy-solutions-for-climate-change-in-asia-and-the-pacific.pdf,2025-01-01 00:00:00 UTC
290,10.5194/esd-5-15-2014,mississippi,Yoshihide Wada,2014,0,A Blueprint for Resilience,World Bank,US,https://openknowledge.worldbank.org/server/api/core/bitstreams/35b5dc00-26e5-4a49-8464-d6645dd7f8a7/content,2024-12-17 00:00:00 UTC
427,10.1002/wrcr.20078,seed-untagged,K. Voss,2013,1,Gravity Recovery and Climate Experiment (GRACE) Groundwater Subsetting Tool,United Nations Economic and Social Commission for Western Asia,LB,https://www.unescwa.org/sites/default/files/pubs/pdf/gravity-recovery-climate-experiment-groundwater-subsetting-tool-english_0.pdf,2024-11-13 11:28:02 UTC
99,10.1016/s0022-1694(02)00060-4,high_plains,Matthew Rodell,2002,1,Gravity Recovery and Climate Experiment (GRACE) Groundwater Subsetting Tool,United Nations Economic and Social Commission for Western Asia,LB,https://www.unescwa.org/sites/default/files/pubs/pdf/gravity-recovery-climate-experiment-groundwater-subsetting-tool-english_0.pdf,2024-11-13 11:28:02 UTC
38,10.1029/2010gl046442,central_valley,J. S. Famiglietti,2011,1,Gravity Recovery and Climate Experiment (GRACE) Groundwater Subsetting Tool,United Nations Economic and Social Commission for Western Asia,LB,https://www.unescwa.org/sites/default/files/pubs/pdf/gravity-recovery-climate-experiment-groundwater-subsetting-tool-english_0.pdf,2024-11-13 11:28:02 UTC
49,10.1038/s41598-018-31210-1,central_valley,Elias Massoud,2018,0,Building on the Cal-Adapt Platform to Deliver Actionable Information in Support of Electricity Sector Resilience,California Energy Commission,US,https://www.energy.ca.gov/sites/default/files/2024-06/CEC-500-2024-060.pdf,2024-06-10 20:17:20 UTC
5,10.1007/s10040-021-02448-3,arabian,Julian Xanke,2022,1,OECD Economic Surveys: Hungary 2024,Organisation for Economic Co-operation and Development (OECD),FR,https://www.oecd.org/content/dam/oecd/en/publications/reports/2024/03/oecd-economic-surveys-hungary-2024_aa6e8628/795451e5-en.pdf,2024-03-04 11:03:52 UTC
2,10.1002/2014wr015595,arabian,Petra Döll,2014,1,Agriculture and conservation (Arabic version),International Union for Conservation of Nature,CH,https://portals.iucn.org/library/sites/library/files/documents/FRS-002-Ar.pdf,2024-01-01 00:00:00 UTC
131,10.1038/nature08238,igp,Matthew Rodell,2009,1,Agriculture and conservation (Arabic version),International Union for Conservation of Nature,CH,https://portals.iucn.org/library/sites/library/files/documents/FRS-002-Ar.pdf,2024-01-01 00:00:00 UTC
2,10.1002/2014wr015595,arabian,Petra Döll,2014,1,Agriculture and conservation,International Union for Conservation of Nature,CH,https://portals.iucn.org/library/sites/library/files/documents/FRS-002-En.pdf,2024-01-01 00:00:00 UTC
131,10.1038/nature08238,igp,Matthew Rodell,2009,1,Agriculture and conservation,International Union for Conservation of Nature,CH,https://portals.iucn.org/library/sites/library/files/documents/FRS-002-En.pdf,2024-01-01 00:00:00 UTC
151,10.5194/esd-11-755-2020,igp,Mohammad Shamsudduha,2020,0,OECD Environment Working Papers,Organisation for Economic Co-operation and Development (OECD),FR,https://www.oecd-ilibrary.org/deliver/c0f4d47d-en.pdf?itemId=%2Fcontent%2Fpaper%2Fc0f4d47d-en&mimeType=pdf,2023-09-27 08:21:29 UTC
151,10.5194/esd-11-755-2020,igp,Mohammad Shamsudduha,2020,0,Watered down? Investigating the financial materiality of water-related risks in the financial system,Organisation for Economic Co-operation and Development (OECD),FR,https://www.oecd.org/content/dam/oecd/en/publications/reports/2023/09/watered-down-investigating-the-financial-materiality-of-water-related-risks-in-the-financial-system_2785cb36/c0f4d47d-en.pdf,2023-09-26 12:39:03 UTC
135,10.1038/ngeo2869,igp,Akarsh Asoka,2017,1,The Hidden Wealth of Nations,World Bank,US,http://documents.worldbank.org/curated/en/099257006142358468/pdf/IDU0fb2550de013100434708d920a3e3bec6afb1.pdf,2023-06-23 00:00:00 UTC
151,10.5194/esd-11-755-2020,igp,Mohammad Shamsudduha,2020,0,The Hidden Wealth of Nations,World Bank,US,http://documents.worldbank.org/curated/en/099257006142358468/pdf/IDU0fb2550de013100434708d920a3e3bec6afb1.pdf,2023-06-23 00:00:00 UTC
135,10.1038/ngeo2869,igp,Akarsh Asoka,2017,1,The Hidden Wealth of Nations,World Bank,US,https://openknowledge.worldbank.org/server/api/core/bitstreams/5f1877a1-b30f-42c3-8fe2-9bdd581d915c/content,2023-06-23 00:00:00 UTC
151,10.5194/esd-11-755-2020,igp,Mohammad Shamsudduha,2020,0,The Hidden Wealth of Nations,World Bank,US,https://openknowledge.worldbank.org/server/api/core/bitstreams/5f1877a1-b30f-42c3-8fe2-9bdd581d915c/content,2023-06-23 00:00:00 UTC
54,10.1038/s41598-019-52371-7,central_valley,D. W. Vasco,2019,0,Impact of Drought-related Subsidence on Gas Infrastructure in California,California Energy Commission,US,https://www.energy.ca.gov/sites/default/files/2023-05/CEC-500-2023-029.pdf,2023-05-25 17:14:41 UTC
427,10.1002/wrcr.20078,seed-untagged,K. Voss,2013,1,The Economics of Water Scarcity in the Middle East and North Africa: Institutional Solutions,World Bank,US,https://openknowledge.worldbank.org/server/api/core/bitstreams/6d4cbe0d-4156-4a9f-ad2f-57f100f411c6/content,2023-04-26 00:00:00 UTC
131,10.1038/nature08238,igp,Matthew Rodell,2009,1,动态发展、人口变化与膳食转变,Food and Agriculture Organization of the United Nations,IT,http://www.fao.org/3/i8499zh/i8499zh.pdf,2023-02-01 00:00:00 UTC
37,10.1073/pnas.1200311109,central_valley,Bridget R. Scanlon,2012,1,Water Briefing Book,National Caucus of Environmental Legislators (NCEL),US,https://www.ncelenviro.org/app/uploads/2023/01/Water-Briefing-Book.pdf,2023-01-24 00:00:00 UTC
132,10.1038/nclimate2425,igp,J. S. Famiglietti,2014,1,What the Future Has in Store,World Bank,US,https://openknowledge.worldbank.org/server/api/core/bitstreams/ed691019-b65d-4309-abca-049757f8e817/content,2023-01-01 00:00:00 UTC
131,10.1038/nature08238,igp,Matthew Rodell,2009,1,动态发展、人口变化与膳食转变,Food and Agriculture Organization of the United Nations,IT,https://openknowledge.fao.org/server/api/core/bitstreams/049304d5-3895-4847-b7cf-e1d4d87e0c2b/content,2023-01-01 00:00:00 UTC
131,10.1038/nature08238,igp,Matthew Rodell,2009,1,Climate Change and Earthquake Exposure in Asia and the Pacific: Assessment of Energy and Transport Infrastructure,Asian Development Bank,PH,https://www.adb.org/sites/default/files/publication/850391/climate-change-earthquake-exposure-asia-pacific.pdf,2022-12-23 00:00:00 UTC
427,10.1002/wrcr.20078,seed-untagged,K. Voss,2013,1,A New State of Mind : Greater Transparency and Accountability in the Middle East and North Africa,World Bank,US,https://openknowledge.worldbank.org/bitstream/10986/38065/5/English.pdf,2022-10-05 04:09:32 UTC
427,10.1002/wrcr.20078,seed-untagged,K. Voss,2013,1,A New State of Mind,World Bank,US,https://openknowledge.worldbank.org/server/api/core/bitstreams/887ca619-e90d-53f5-b85c-77c0ad5f66ed/content,2022-10-05 00:00:00 UTC
290,10.5194/esd-5-15-2014,mississippi,Yoshihide Wada,2014,0,"OECD Food, Agriculture and Fisheries Papers",Organisation for Economic Co-operation and Development (OECD),FR,https://www.oecd-ilibrary.org/deliver/520dd70d-en.pdf?itemId=%2Fcontent%2Fpaper%2F520dd70d-en&mimeType=pdf,2022-06-22 15:47:07 UTC
290,10.5194/esd-5-15-2014,mississippi,Yoshihide Wada,2014,0,The impacts of agricultural trade and support policy reform on climate change adaptation and environmental performance,Organisation for Economic Co-operation and Development (OECD),FR,https://www.oecd.org/content/dam/oecd/en/publications/reports/2022/06/the-impacts-of-agricultural-trade-and-support-policy-reform-on-climate-change-adaptation-and-environmental-performance_562aaec1/520dd70d-en.pdf,2022-06-22 15:47:07 UTC
427,10.1002/wrcr.20078,seed-untagged,K. Voss,2013,1,The State of Land and Water Resources for Food and Agriculture in the Near East and North Africa region,Food and Agriculture Organization of the United Nations,IT,http://www.fao.org/3/cc0265en/cc0265en.pdf,2022-06-01 00:00:00 UTC
151,10.5194/esd-11-755-2020,igp,Mohammad Shamsudduha,2020,0,UN World Water Development Report 2022: Groundwater: Making the invisible visible,UN Human Settlements Programme,KE,https://unhabitat.org/sites/default/files/2022/09/380721eng.pdf,2022-04-12 11:08:56 UTC
159,10.5194/esd-11-775-2020,igp,Simon Opie,2020,0,UN World Water Development Report 2022: Groundwater: Making the invisible visible,UN Human Settlements Programme,KE,https://unhabitat.org/sites/default/files/2022/09/380721eng.pdf,2022-04-12 11:08:56 UTC
39,10.1029/2011wr011312,central_valley,Bridget R. Scanlon,2012,1,UN World Water Development Report 2022: Groundwater: Making the invisible visible,UN Human Settlements Programme,KE,https://unhabitat.org/sites/default/files/2022/09/380721eng.pdf,2022-04-12 11:08:56 UTC
2,10.1002/2014wr015595,arabian,Petra Döll,2014,1,UN World Water Development Report 2022: Groundwater: Making the invisible visible,UN Human Settlements Programme,KE,https://unhabitat.org/sites/default/files/2022/09/380721eng.pdf,2022-04-12 11:08:56 UTC
37,10.1073/pnas.1200311109,central_valley,Bridget R. Scanlon,2012,1,UN World Water Development Report 2022: Groundwater: Making the invisible visible,UN Human Settlements Programme,KE,https://unhabitat.org/sites/default/files/2022/09/380721eng.pdf,2022-04-12 11:08:56 UTC
135,10.1038/ngeo2869,igp,Akarsh Asoka,2017,1,UN World Water Development Report 2022: Groundwater: Making the invisible visible,UN Human Settlements Programme,KE,https://unhabitat.org/sites/default/files/2022/09/380721eng.pdf,2022-04-12 11:08:56 UTC
132,10.1038/nclimate2425,igp,J. S. Famiglietti,2014,1,UN World Water Development Report 2022: Groundwater: Making the invisible visible,UN Human Settlements Programme,KE,https://unhabitat.org/sites/default/files/2022/09/380721eng.pdf,2022-04-12 11:08:56 UTC
322,10.1029/2008wr007333,murray,Marc Leblanc,2009,1,UN World Water Development Report 2022: Groundwater: Making the invisible visible,UN Human Settlements Programme,KE,https://unhabitat.org/sites/default/files/2022/09/380721eng.pdf,2022-04-12 11:08:56 UTC
131,10.1038/nature08238,igp,Matthew Rodell,2009,1,Seeing the Invisible,World Bank,US,https://openknowledge.worldbank.org/server/api/core/bitstreams/b1c3c4f9-1a86-54c2-b4bc-6d99d5e9ffe8/content,2022-03-23 00:00:00 UTC
426,10.3390/rs10060829,north_china_plain;murray,Frédéric Frappart,2018,0,The 2022 GCOS ECVs Requirements (GCOS 245),World Meteorological Organization (WMO),CH,https://library.wmo.int/viewer/58111/download?file=GCOS-245_2022_GCOS_ECVs_Requirements.pdf&type=pdf&navigator=1,2022-01-01 00:00:00 UTC
427,10.1002/wrcr.20078,seed-untagged,K. Voss,2013,1,The State of Land and Water Resources for Food and Agriculture in the Near East and North Africa region,Food and Agriculture Organization of the United Nations,IT,https://openknowledge.fao.org/server/api/core/bitstreams/d9fd2e0a-27ba-409a-a9f2-6906c0bb85f0/content,2022-01-01 00:00:00 UTC
2,10.1002/2014wr015595,arabian,Petra Döll,2014,1,The State of the World’s Land and Water Resources for Food and Agriculture 2021 – Systems at breaking point,Food and Agriculture Organization of the United Nations,IT,https://openknowledge.fao.org/server/api/core/bitstreams/06e745be-89a5-4850-b819-10670efc1160/content,2022-01-01 00:00:00 UTC
427,10.1002/wrcr.20078,seed-untagged,K. Voss,2013,1,Addressing the water challenges in the agriculture sector in Near East and North Africa,Food and Agriculture Organization of the United Nations,IT,https://openknowledge.fao.org/server/api/core/bitstreams/d21c6fbe-8f96-4f7b-b078-55de485ef7c5/content,2022-01-01 00:00:00 UTC
87,10.1029/2010jd014689,guarani,Jianli Chen,2010,1,El episodio de sequía extrema de 2019-2021 en la Cuenca del Plata,The Publications Office of the European Union,LU,https://op.europa.eu/o/opportal-service/download-handler?identifier=58b48f55-2c95-11ec-bd8e-01aa75ed71a1&format=pdf&language=en&productionSystem=cellar&part=,2021-10-13 09:41:31 UTC
131,10.1038/nature08238,igp,Matthew Rodell,2009,1,Efficient Irrigation and Water Conservation,World Bank,US,https://openknowledge.worldbank.org/server/api/core/bitstreams/acf84c0e-134c-5ddd-b51b-47dfe5568c9a/content,2021-06-01 00:00:00 UTC
43,10.3390/rs10010143,central_valley,Michelle E. Miro,2018,0,Research 387: GRACE Monitoring of Groundwater over Ireland – A Feasibility Study,Environmental Protection Agency (EPA),IE,https://www.epa.ie/publications/research/air/Research-_Report_387.pdf,2021-01-01 00:00:00 UTC
131,10.1038/nature08238,igp,Matthew Rodell,2009,1,Chief Liquidity Series: Water-Related Materiality Briefings for Financial Institutions – Issue 1: Agribusiness,United Nations Environment Programme (UNEP),KE,https://wedocs.unep.org/xmlui/bitstream/20.500.11822/33635/1/CLS.pdf,2020-09-01 13:43:48 UTC
131,10.1038/nature08238,igp,Matthew Rodell,2009,1,Rationing the Commons,National Bureau of Economic Research,US,https://www.nber.org/system/files/working_papers/w27473/w27473.pdf,2020-07-01 00:00:00 UTC
133,10.1029/2009gl039401,igp,V. M. Tiwari,2009,1,Outlook on Climate Change Adaptation in the Hindu Kush Himalaya,United Nations Environment Programme (UNEP),KE,https://wedocs.unep.org/xmlui/bitstream/20.500.11822/32059/1/OHM.pdf,2020-04-06 13:01:43 UTC
131,10.1038/nature08238,igp,Matthew Rodell,2009,1,Outlook on Climate Change Adaptation in the Hindu Kush Himalaya,United Nations Environment Programme (UNEP),KE,https://wedocs.unep.org/xmlui/bitstream/20.500.11822/32059/1/OHM.pdf,2020-04-06 13:01:43 UTC
242,10.1016/j.epsl.2016.06.002,indus,Longwei Xiang,2016,1,Outlook on Climate Change Adaptation in the Hindu Kush Himalaya,United Nations Environment Programme (UNEP),KE,https://wedocs.unep.org/xmlui/bitstream/20.500.11822/32059/1/OHM.pdf,2020-04-06 13:01:43 UTC
132,10.1038/nclimate2425,igp,J. S. Famiglietti,2014,1,World Water Development Report 2020: Water and Climate Change,UN Human Settlements Programme,KE,https://unhabitat.org/sites/default/files/2020/08/world_water_development_report_2020_water_and_climate_change.pdf,2020-02-24 17:15:44 UTC
133,10.1029/2009gl039401,igp,V. M. Tiwari,2009,1,World Water Development Report 2020: Water and Climate Change,UN Human Settlements Programme,KE,https://unhabitat.org/sites/default/files/2020/08/world_water_development_report_2020_water_and_climate_change.pdf,2020-02-24 17:15:44 UTC
2,10.1002/2014wr015595,arabian,Petra Döll,2014,1,Managing Groundwater for Drought Resilience in South Asia,World Bank,US,https://openknowledge.worldbank.org/bitstream/10986/33332/4/W19027.pdf,2020-02-19 03:07:17 UTC
131,10.1038/nature08238,igp,Matthew Rodell,2009,1,Managing Groundwater for Drought Resilience in South Asia,World Bank,US,https://openknowledge.worldbank.org/bitstream/10986/33332/4/W19027.pdf,2020-02-19 03:07:17 UTC
133,10.1029/2009gl039401,igp,V. M. Tiwari,2009,1,Water and climate change,The United Nations Economic and Social Commission for Asia and the Pacific (ESCAP),TH,https://repository.unescap.org/bitstream/handle/20.500.12870/7402/ESCAP-2020-RP-Water-climate-change.pdf?isAllowed=y&sequence=1,2020-01-01 00:00:00 UTC
132,10.1038/nclimate2425,igp,J. S. Famiglietti,2014,1,Water and climate change,The United Nations Economic and Social Commission for Asia and the Pacific (ESCAP),TH,https://repository.unescap.org/bitstream/handle/20.500.12870/7402/ESCAP-2020-RP-Water-climate-change.pdf?isAllowed=y&sequence=1,2020-01-01 00:00:00 UTC
2,10.1002/2014wr015595,arabian,Petra Döll,2014,1,Managing Groundwater for Drought Resilience in South Asia,World Bank,US,http://documents.worldbank.org/curated/en/263191580270662719/pdf/Managing-Groundwater-for-Drought-Resilience-in-South-Asia-Delivered-under-the-South-Asia-Water-Initiative-SAWI-Regional-Cross-Cutting-Knowledge-Dialogue-and-Cooperation-Focus-Area.pdf,2020-01-01 00:00:00 UTC
131,10.1038/nature08238,igp,Matthew Rodell,2009,1,Managing Groundwater for Drought Resilience in South Asia,World Bank,US,http://documents.worldbank.org/curated/en/263191580270662719/pdf/Managing-Groundwater-for-Drought-Resilience-in-South-Asia-Delivered-under-the-South-Asia-Water-Initiative-SAWI-Regional-Cross-Cutting-Knowledge-Dialogue-and-Cooperation-Focus-Area.pdf,2020-01-01 00:00:00 UTC
2,10.1002/2014wr015595,arabian,Petra Döll,2014,1,Managing Groundwater for Drought Resilience in South Asia,World Bank,US,https://openknowledge.worldbank.org/server/api/core/bitstreams/eb9ff6f0-ff8c-5ba5-83df-6d015729b19a/content,2020-01-01 00:00:00 UTC
131,10.1038/nature08238,igp,Matthew Rodell,2009,1,Managing Groundwater for Drought Resilience in South Asia,World Bank,US,https://openknowledge.worldbank.org/server/api/core/bitstreams/eb9ff6f0-ff8c-5ba5-83df-6d015729b19a/content,2020-01-01 00:00:00 UTC
131,10.1038/nature08238,igp,Matthew Rodell,2009,1,World Bank Support for Irrigation Service Delivery,World Bank,US,https://openknowledge.worldbank.org/server/api/core/bitstreams/5972d067-f435-5e4e-bb64-967c0604d757/content,2019-09-30 00:00:00 UTC
131,10.1038/nature08238,igp,Matthew Rodell,2009,1,World Bank Support for Irrigation Service Delivery,World Bank,US,http://documents.worldbank.org/curated/en/295321573498549697/pdf/World-Bank-Support-for-Irrigation-Service-Delivery-Responding-to-Emergent-Challenges-and-Opportunities-IEG-Meso-Evaluation.pdf,2019-09-30 00:00:00 UTC
132,10.1038/nclimate2425,igp,J. S. Famiglietti,2014,1,Part A: State of the Global Environment,United Nations Environment Programme (UNEP),KE,https://wedocs.unep.org/bitstream/handle/20.500.11822/27656/GEO6_CH9.pdf?sequence=1&isAllowed=y,2019-09-10 15:00:00 UTC
2,10.1002/2014wr015595,arabian,Petra Döll,2014,1,Using digital technologies to improve the design and enforcement of public policies,Organisation for Economic Co-operation and Development (OECD),FR,https://www.oecd.org/content/dam/oecd/en/publications/reports/2019/02/using-digital-technologies-to-improve-the-design-and-enforcement-of-public-policies_ebebe10f/99b9ba70-en.pdf,2019-02-22 11:49:04 UTC
2,10.1002/2014wr015595,arabian,Petra Döll,2014,1,Towards a new generation of policies and investments in agricultural water in the Arab region,Food and Agriculture Organization of the United Nations,IT,https://openknowledge.fao.org/server/api/core/bitstreams/c1c58532-ef20-4b58-8626-ba1926a86f66/content,2019-01-01 00:00:00 UTC
427,10.1002/wrcr.20078,seed-untagged,K. Voss,2013,1,Towards a new generation of policies and investments in agricultural water in the Arab region,Food and Agriculture Organization of the United Nations,IT,https://openknowledge.fao.org/server/api/core/bitstreams/c1c58532-ef20-4b58-8626-ba1926a86f66/content,2019-01-01 00:00:00 UTC
131,10.1038/nature08238,igp,Matthew Rodell,2009,1,In the Dark,World Bank,US,https://openknowledge.worldbank.org/server/api/core/bitstreams/ae0fa02f-a4c7-5888-8bf7-0b05a659119e/content,2019-01-01 00:00:00 UTC
131,10.1038/nature08238,igp,Matthew Rodell,2009,1,"Dynamic development, shifting demographics and changing diets",Food and Agriculture Organization of the United Nations,IT,http://www.fao.org/3/i8499en/i8499en.pdf,2018-11-01 00:00:00 UTC
38,10.1029/2010gl046442,central_valley,J. S. Famiglietti,2011,1,The Federal Role in Groundwater Supply,Congressional Research Service,US,https://crsreports.congress.gov/product/pdf/download/R/R45259/R45259.pdf/,2018-07-18 00:00:00 UTC
133,10.1029/2009gl039401,igp,V. M. Tiwari,2009,1,Groundswell,World Bank,US,https://openknowledge.worldbank.org/server/api/core/bitstreams/0804521a-3318-565e-ad8a-5924f75c3cf2/content,2018-03-19 00:00:00 UTC
132,10.1038/nclimate2425,igp,J. S. Famiglietti,2014,1,The Unintended Consequences of a Global Carbon Tax,Beijer Institute of Ecological Economics,SE,https://beijer.kva.se/wp-content/uploads/2019/12/29199897_Discussion-Paper-261.pdf,2018-01-26 06:39:01 UTC
37,10.1073/pnas.1200311109,central_valley,Bridget R. Scanlon,2012,1,Water accounting for water governance and sustainable development,Food and Agriculture Organization of the United Nations,IT,https://openknowledge.fao.org/server/api/core/bitstreams/d816296a-d0ce-4221-8dcd-56c707d4f61b/content,2018-01-01 00:00:00 UTC
427,10.1002/wrcr.20078,seed-untagged,K. Voss,2013,1,Drought characteristics and management in North Africa and the Near East,Food and Agriculture Organization of the United Nations,IT,https://openknowledge.fao.org/server/api/core/bitstreams/94eb6949-ae16-4ae6-994e-860d1156d449/content,2018-01-01 00:00:00 UTC
343,10.1002/wrcr.20192,north_china_plain,Wei Feng,2013,0,Groundwater Allocation,Organisation for Economic Co-operation and Development (OECD),FR,https://www.oecd.org/content/dam/oecd/en/publications/reports/2017/10/groundwater-allocation_g1g8074d/9789264281554-en.pdf,2017-10-18 08:14:06 UTC
131,10.1038/nature08238,igp,Matthew Rodell,2009,1,Water Risk Hotspots for Agriculture,Organisation for Economic Co-operation and Development (OECD),FR,https://www.oecd.org/content/dam/oecd/en/publications/reports/2017/09/water-risk-hotspots-for-agriculture_g1g7f68c/9789264279551-en.pdf,2017-09-22 14:12:37 UTC
427,10.1002/wrcr.20078,seed-untagged,K. Voss,2013,1,RICCAR Arab Climate Change Assessment Report,United Nations Economic and Social Commission for Western Asia,LB,http://www.unescwa.org/sites/default/files/pubs/pdf/riccar-main-report-2017-english_0.pdf,2017-09-22 11:11:33 UTC
132,10.1038/nclimate2425,igp,J. S. Famiglietti,2014,1,Future flows: global trends to watch on water and sanitation,Overseas Development Institute,GB,https://odi.org/documents/5617/11721.pdf,2017-08-25 00:00:00 UTC
131,10.1038/nature08238,igp,Matthew Rodell,2009,1,Future flows: global trends to watch on water and sanitation,Overseas Development Institute,GB,https://odi.org/documents/5617/11721.pdf,2017-08-25 00:00:00 UTC
37,10.1073/pnas.1200311109,central_valley,Bridget R. Scanlon,2012,1,Turning Soils into Sponges How Farmers Can Fight Floods and Droughts,Union of Concerned Scientists,US,https://www.ucsusa.org/sites/default/files/attach/2017/08/turning-soils-into-sponges-full-report-august-2017.pdf,2017-08-07 00:00:00 UTC
131,10.1038/nature08238,igp,Matthew Rodell,2009,1,'Well-fare' Economics of Groundwater in South Asia,World Bank,US,https://openknowledge.worldbank.org/server/api/core/bitstreams/73f7b95d-3c28-5f37-a529-b9bfecca26a5/content,2017-02-01 00:00:00 UTC
2,10.1002/2014wr015595,arabian,Petra Döll,2014,1,Transboundary Aquifers and Groundwater Systems of Small Island Developing States: Status and trends - Transboundary Waters Assessment Programme Volume 1,United Nations Environment Programme (UNEP),KE,https://wedocs.unep.org/bitstream/handle/20.500.11822/17517/Transboundary_Aquifers_Groundwater_SIDS.pdf?sequence=1&amp;isAllowed=,2016-12-14 15:00:00 UTC
131,10.1038/nature08238,igp,Matthew Rodell,2009,1,Developing and Disseminating Water-Saving Rice Technologies in Asia,Asian Development Bank,PH,https://www.adb.org/sites/default/files/publication/185485/water-saving-rice-tech.pdf,2016-06-23 00:00:00 UTC
292,10.1175/2007jhm951.1,mississippi,Benjamin F. Zaitchik,2008,1,"Confronting Climate Change in New Mexico Action needed today to prepare the state for a hotter, drier future",Union of Concerned Scientists,US,https://www.ucsusa.org/sites/default/files/attach/2016/04/Climate-Change-New-Mexico-fact-sheet.pdf,2016-05-02 00:00:00 UTC
