status,reason,n_papers_cited,publisher,title,domain,retrievability,pdf_bytes,txt_chars,slug,url
ok,cached,1,Organisation for Economic Co-operation and Development (OECD),OECD Economic Surveys: Hungary 2024,www.oecd.org,unknown,4085903,578624,www_oecd_org_71e3fdb7,https://www.oecd.org/content/dam/oecd/en/publications/reports/2024/03/oecd-economic-surveys-hungary-2024_aa6e8628/795451e5-en.pdf
ok,cached,2,International Union for Conservation of Nature,Agriculture and conservation (Arabic version),portals.iucn.org,unknown,16554545,1304195,portals_iucn_org_230e6cb3,https://portals.iucn.org/library/sites/library/files/documents/FRS-002-Ar.pdf
ok,cached,2,International Union for Conservation of Nature,Agriculture and conservation,portals.iucn.org,unknown,13645700,750107,portals_iucn_org_661eadad,https://portals.iucn.org/library/sites/library/files/documents/FRS-002-En.pdf
ok,cached,1,Organisation for Economic Co-operation and Development (OECD),OECD Environment Working Papers,www.oecd-ilibrary.org,unknown,1505833,217730,www_oecd_ilibrary_org_1d51c55e,https://www.oecd-ilibrary.org/deliver/c0f4d47d-en.pdf?itemId=%2Fcontent%2Fpaper%2Fc0f4d47d-en&mimeType=pdf
ok,cached,1,Organisation for Economic Co-operation and Development (OECD),Watered down? Investigating the financial materiality of water-related risks in ,www.oecd.org,unknown,1505833,217730,www_oecd_org_e897d1a9,https://www.oecd.org/content/dam/oecd/en/publications/reports/2023/09/watered-down-investigating-the-financial-materiality-of-water-related-risks-in-the-financial-system_2785cb36/c0f4d47d-en.pdf
ok,cached,2,World Bank,The Hidden Wealth of Nations,documents.worldbank.org,cli-likely,23081056,250295,documents_worldbank_org_7e8db053,http://documents.worldbank.org/curated/en/099257006142358468/pdf/IDU0fb2550de013100434708d920a3e3bec6afb1.pdf
ok,cached,2,World Bank,The Hidden Wealth of Nations,openknowledge.worldbank.org,cli-likely,6981970,250253,openknowledge_worldbank_org_075c0e2d,https://openknowledge.worldbank.org/server/api/core/bitstreams/5f1877a1-b30f-42c3-8fe2-9bdd581d915c/content
ok,cached,1,California Energy Commission,Impact of Drought-related Subsidence on Gas Infrastructure in California,www.energy.ca.gov,unknown,3460748,103773,www_energy_ca_gov_d7d30bef,https://www.energy.ca.gov/sites/default/files/2023-05/CEC-500-2023-029.pdf
ok,cached,1,World Bank,The Economics of Water Scarcity in the Middle East and North Africa: Institution,openknowledge.worldbank.org,cli-likely,7423913,754675,openknowledge_worldbank_org_ae038183,https://openknowledge.worldbank.org/server/api/core/bitstreams/6d4cbe0d-4156-4a9f-ad2f-57f100f411c6/content
ok,cached,1,Food and Agriculture Organization of the United Nations,动态发展、人口变化与膳食转变,www.fao.org,unknown,14568850,360777,www_fao_org_e61786de,http://www.fao.org/3/i8499zh/i8499zh.pdf
ok,cached,1,National Caucus of Environmental Legislators (NCEL),Water Briefing Book,www.ncelenviro.org,unknown,12868702,22252,www_ncelenviro_org_7f925adb,https://www.ncelenviro.org/app/uploads/2023/01/Water-Briefing-Book.pdf
ok,cached,1,World Bank,What the Future Has in Store,openknowledge.worldbank.org,cli-likely,62048621,1202329,openknowledge_worldbank_org_4b281c6e,https://openknowledge.worldbank.org/server/api/core/bitstreams/ed691019-b65d-4309-abca-049757f8e817/content
ok,cached,1,Food and Agriculture Organization of the United Nations,动态发展、人口变化与膳食转变,openknowledge.fao.org,unknown,14568850,360777,openknowledge_fao_org_e4c8106e,https://openknowledge.fao.org/server/api/core/bitstreams/049304d5-3895-4847-b7cf-e1d4d87e0c2b/content
ok,cached,1,Asian Development Bank,Climate Change and Earthquake Exposure in Asia and the Pacific: Assessment of En,www.adb.org,unknown,5022754,201115,www_adb_org_d9bf0cfe,https://www.adb.org/sites/default/files/publication/850391/climate-change-earthquake-exposure-asia-pacific.pdf
ok,cached,1,World Bank,A New State of Mind : Greater Transparency and Accountability in the Middle East,openknowledge.worldbank.org,cli-likely,6423845,1367746,openknowledge_worldbank_org_af79fb57,https://openknowledge.worldbank.org/bitstream/10986/38065/5/English.pdf
ok,cached,1,World Bank,A New State of Mind,openknowledge.worldbank.org,cli-likely,6423845,1367746,openknowledge_worldbank_org_9beda220,https://openknowledge.worldbank.org/server/api/core/bitstreams/887ca619-e90d-53f5-b85c-77c0ad5f66ed/content
ok,cached,1,Organisation for Economic Co-operation and Development (OECD),"OECD Food, Agriculture and Fisheries Papers",www.oecd-ilibrary.org,unknown,2203467,328815,www_oecd_ilibrary_org_1e3bdaff,https://www.oecd-ilibrary.org/deliver/520dd70d-en.pdf?itemId=%2Fcontent%2Fpaper%2F520dd70d-en&mimeType=pdf
ok,cached,1,Organisation for Economic Co-operation and Development (OECD),The impacts of agricultural trade and support policy reform on climate change ad,www.oecd.org,unknown,2203467,328815,www_oecd_org_0e0dd6cd,https://www.oecd.org/content/dam/oecd/en/publications/reports/2022/06/the-impacts-of-agricultural-trade-and-support-policy-reform-on-climate-change-adaptation-and-environmental-performance_562aaec1/520dd70d-en.pdf
ok,cached,1,Food and Agriculture Organization of the United Nations,The State of Land and Water Resources for Food and Agriculture in the Near East ,www.fao.org,unknown,15067685,863178,www_fao_org_f3ca61f7,http://www.fao.org/3/cc0265en/cc0265en.pdf
ok,cached,8,UN Human Settlements Programme,UN World Water Development Report 2022: Groundwater: Making the invisible visibl,unhabitat.org,unknown,15092505,1159687,unhabitat_org_3115d8da,https://unhabitat.org/sites/default/files/2022/09/380721eng.pdf
ok,cached,1,World Bank,Seeing the Invisible,openknowledge.worldbank.org,cli-likely,9067430,344332,openknowledge_worldbank_org_48706b98,https://openknowledge.worldbank.org/server/api/core/bitstreams/b1c3c4f9-1a86-54c2-b4bc-6d99d5e9ffe8/content
ok,cached,1,World Meteorological Organization (WMO),The 2022 GCOS ECVs Requirements (GCOS 245),library.wmo.int,unknown,7042245,813918,library_wmo_int_5646927d,https://library.wmo.int/viewer/58111/download?file=GCOS-245_2022_GCOS_ECVs_Requirements.pdf&type=pdf&navigator=1
ok,cached,1,Food and Agriculture Organization of the United Nations,The State of Land and Water Resources for Food and Agriculture in the Near East ,openknowledge.fao.org,unknown,15067685,863178,openknowledge_fao_org_d9c2f2a0,https://openknowledge.fao.org/server/api/core/bitstreams/d9fd2e0a-27ba-409a-a9f2-6906c0bb85f0/content
ok,cached,1,Food and Agriculture Organization of the United Nations,The State of the World’s Land and Water Resources for Food and Agriculture 2021 ,openknowledge.fao.org,unknown,19275761,1668216,openknowledge_fao_org_889e3918,https://openknowledge.fao.org/server/api/core/bitstreams/06e745be-89a5-4850-b819-10670efc1160/content
ok,cached,1,Food and Agriculture Organization of the United Nations,Addressing the water challenges in the agriculture sector in Near East and North,openknowledge.fao.org,unknown,3351743,205148,openknowledge_fao_org_58019add,https://openknowledge.fao.org/server/api/core/bitstreams/d21c6fbe-8f96-4f7b-b078-55de485ef7c5/content
ok,cached,1,The Publications Office of the European Union,El episodio de sequía extrema de 2019-2021 en la Cuenca del Plata,op.europa.eu,unknown,7031092,128354,op_europa_eu_f55662ac,https://op.europa.eu/o/opportal-service/download-handler?identifier=58b48f55-2c95-11ec-bd8e-01aa75ed71a1&format=pdf&language=en&productionSystem=cellar&part=
ok,cached,1,World Bank,Efficient Irrigation and Water Conservation,openknowledge.worldbank.org,cli-likely,492937,61622,openknowledge_worldbank_org_2d3ac2ca,https://openknowledge.worldbank.org/server/api/core/bitstreams/acf84c0e-134c-5ddd-b51b-47dfe5568c9a/content
ok,cached,1,Environmental Protection Agency (EPA),Research 387: GRACE Monitoring of Groundwater over Ireland – A Feasibility Study,www.epa.ie,unknown,4048859,169809,www_epa_ie_c5245ad5,https://www.epa.ie/publications/research/air/Research-_Report_387.pdf
ok,cached,1,United Nations Environment Programme (UNEP),Chief Liquidity Series: Water-Related Materiality Briefings for Financial Instit,wedocs.unep.org,cloudflare-blocked,5641826,274107,wedocs_unep_org_22a9f951,https://wedocs.unep.org/xmlui/bitstream/20.500.11822/33635/1/CLS.pdf
ok,cached,1,National Bureau of Economic Research,Rationing the Commons,www.nber.org,unknown,813370,142611,www_nber_org_928447cf,https://www.nber.org/system/files/working_papers/w27473/w27473.pdf
ok,cached,3,United Nations Environment Programme (UNEP),Outlook on Climate Change Adaptation in the Hindu Kush Himalaya,wedocs.unep.org,cloudflare-blocked,36581374,402232,wedocs_unep_org_a009091e,https://wedocs.unep.org/xmlui/bitstream/20.500.11822/32059/1/OHM.pdf
ok,cached,2,UN Human Settlements Programme,World Water Development Report 2020: Water and Climate Change,unhabitat.org,unknown,17708727,1121191,unhabitat_org_6d55d1be,https://unhabitat.org/sites/default/files/2020/08/world_water_development_report_2020_water_and_climate_change.pdf
fail,landing-page (no pdf link found),2,World Bank,Managing Groundwater for Drought Resilience in South Asia,openknowledge.worldbank.org,cli-likely,0,0,openknowledge_worldbank_org_6ff5d67b,https://openknowledge.worldbank.org/bitstream/10986/33332/4/W19027.pdf
ok,cached,2,The United Nations Economic and Social Commission for Asia and the Pacific (ESCAP),Water and climate change,repository.unescap.org,unknown,11132272,1121656,repository_unescap_org_072a2b11,https://repository.unescap.org/bitstream/handle/20.500.12870/7402/ESCAP-2020-RP-Water-climate-change.pdf?isAllowed=y&sequence=1
ok,cached,2,World Bank,Managing Groundwater for Drought Resilience in South Asia,documents.worldbank.org,cli-likely,7979620,339627,documents_worldbank_org_676b3da4,http://documents.worldbank.org/curated/en/263191580270662719/pdf/Managing-Groundwater-for-Drought-Resilience-in-South-Asia-Delivered-under-the-South-Asia-Water-Initiative-SAWI-Regional-Cross-Cutting-Knowledge-Dialogue-and-Cooperation-Focus-Area.pdf
ok,cached,2,World Bank,Managing Groundwater for Drought Resilience in South Asia,openknowledge.worldbank.org,cli-likely,6355591,339294,openknowledge_worldbank_org_efb2024e,https://openknowledge.worldbank.org/server/api/core/bitstreams/eb9ff6f0-ff8c-5ba5-83df-6d015729b19a/content
ok,cached,1,World Bank,World Bank Support for Irrigation Service Delivery,openknowledge.worldbank.org,cli-likely,4438861,197474,openknowledge_worldbank_org_b6f49970,https://openknowledge.worldbank.org/server/api/core/bitstreams/5972d067-f435-5e4e-bb64-967c0604d757/content
ok,cached,1,World Bank,World Bank Support for Irrigation Service Delivery,documents.worldbank.org,cli-likely,4438861,197474,documents_worldbank_org_26a863ba,http://documents.worldbank.org/curated/en/295321573498549697/pdf/World-Bank-Support-for-Irrigation-Service-Delivery-Responding-to-Emergent-Challenges-and-Opportunities-IEG-Meso-Evaluation.pdf
ok,cached,1,United Nations Environment Programme (UNEP),Part A: State of the Global Environment,wedocs.unep.org,cloudflare-blocked,17959909,550053,wedocs_unep_org_6edd5bcb,https://wedocs.unep.org/bitstream/handle/20.500.11822/27656/GEO6_CH9.pdf?sequence=1&isAllowed=y
ok,cached,1,Organisation for Economic Co-operation and Development (OECD),Using digital technologies to improve the design and enforcement of public polic,www.oecd.org,unknown,2032866,134905,www_oecd_org_d28340e8,https://www.oecd.org/content/dam/oecd/en/publications/reports/2019/02/using-digital-technologies-to-improve-the-design-and-enforcement-of-public-policies_ebebe10f/99b9ba70-en.pdf
ok,cached,2,Food and Agriculture Organization of the United Nations,Towards a new generation of policies and investments in agricultural water in th,openknowledge.fao.org,unknown,2772527,335502,openknowledge_fao_org_db84f8c1,https://openknowledge.fao.org/server/api/core/bitstreams/c1c58532-ef20-4b58-8626-ba1926a86f66/content
ok,cached,1,World Bank,In the Dark,openknowledge.worldbank.org,cli-likely,7475238,744586,openknowledge_worldbank_org_7456ac63,https://openknowledge.worldbank.org/server/api/core/bitstreams/ae0fa02f-a4c7-5888-8bf7-0b05a659119e/content
ok,cached,1,Food and Agriculture Organization of the United Nations,"Dynamic development, shifting demographics and changing diets",www.fao.org,unknown,2952378,443062,www_fao_org_7ca319b7,http://www.fao.org/3/i8499en/i8499en.pdf
ok,cached,1,Congressional Research Service,The Federal Role in Groundwater Supply,crsreports.congress.gov,unknown,1900141,102310,crsreports_congress_gov_26addb95,https://crsreports.congress.gov/product/pdf/download/R/R45259/R45259.pdf/
ok,cached,1,World Bank,Groundswell,openknowledge.worldbank.org,cli-likely,66687338,937031,openknowledge_worldbank_org_e540c95e,https://openknowledge.worldbank.org/server/api/core/bitstreams/0804521a-3318-565e-ad8a-5924f75c3cf2/content
ok,cached,1,Beijer Institute of Ecological Economics,The Unintended Consequences of a Global Carbon Tax,beijer.kva.se,unknown,1269807,163849,beijer_kva_se_0ef36553,https://beijer.kva.se/wp-content/uploads/2019/12/29199897_Discussion-Paper-261.pdf
ok,cached,1,Food and Agriculture Organization of the United Nations,Water accounting for water governance and sustainable development,openknowledge.fao.org,unknown,1211863,134117,openknowledge_fao_org_60678ee6,https://openknowledge.fao.org/server/api/core/bitstreams/d816296a-d0ce-4221-8dcd-56c707d4f61b/content
ok,cached,1,Food and Agriculture Organization of the United Nations,Drought characteristics and management in North Africa and the Near East,openknowledge.fao.org,unknown,3330493,837917,openknowledge_fao_org_81fedd36,https://openknowledge.fao.org/server/api/core/bitstreams/94eb6949-ae16-4ae6-994e-860d1156d449/content
ok,cached,1,Organisation for Economic Co-operation and Development (OECD),Groundwater Allocation,www.oecd.org,unknown,1723550,357573,www_oecd_org_4a527edc,https://www.oecd.org/content/dam/oecd/en/publications/reports/2017/10/groundwater-allocation_g1g8074d/9789264281554-en.pdf
ok,cached,1,Organisation for Economic Co-operation and Development (OECD),Water Risk Hotspots for Agriculture,www.oecd.org,unknown,4996088,714465,www_oecd_org_08098351,https://www.oecd.org/content/dam/oecd/en/publications/reports/2017/09/water-risk-hotspots-for-agriculture_g1g7f68c/9789264279551-en.pdf
ok,cached,1,United Nations Economic and Social Commission for Western Asia,RICCAR Arab Climate Change Assessment Report,www.unescwa.org,unknown,68723276,1426902,www_unescwa_org_5037eb76,http://www.unescwa.org/sites/default/files/pubs/pdf/riccar-main-report-2017-english_0.pdf
ok,cached,2,Overseas Development Institute,Future flows: global trends to watch on water and sanitation,odi.org,unknown,3157123,130594,odi_org_3ced08a2,https://odi.org/documents/5617/11721.pdf
ok,cached,1,Union of Concerned Scientists,Turning Soils into Sponges How Farmers Can Fight Floods and Droughts,www.ucsusa.org,unknown,11596527,102339,www_ucsusa_org_85774ff2,https://www.ucsusa.org/sites/default/files/attach/2017/08/turning-soils-into-sponges-full-report-august-2017.pdf
ok,cached,1,World Bank,'Well-fare' Economics of Groundwater in South Asia,openknowledge.worldbank.org,cli-likely,441512,57200,openknowledge_worldbank_org_3001f67d,https://openknowledge.worldbank.org/server/api/core/bitstreams/73f7b95d-3c28-5f37-a529-b9bfecca26a5/content
ok,cached,1,United Nations Environment Programme (UNEP),Transboundary Aquifers and Groundwater Systems of Small Island Developing States,wedocs.unep.org,cloudflare-blocked,99298561,741007,wedocs_unep_org_6e67b664,https://wedocs.unep.org/bitstream/handle/20.500.11822/17517/Transboundary_Aquifers_Groundwater_SIDS.pdf?sequence=1&amp;isAllowed=
ok,cached,1,Asian Development Bank,Developing and Disseminating Water-Saving Rice Technologies in Asia,www.adb.org,unknown,835293,57366,www_adb_org_addfce9f,https://www.adb.org/sites/default/files/publication/185485/water-saving-rice-tech.pdf
ok,cached,1,Union of Concerned Scientists,Confronting Climate Change in New Mexico Action needed today to prepare the stat,www.ucsusa.org,unknown,1304690,87103,www_ucsusa_org_e5c391bd,https://www.ucsusa.org/sites/default/files/attach/2016/04/Climate-Change-New-Mexico-fact-sheet.pdf
ok,cached,4,World Bank,Earth Observation for Water Resources Management,openknowledge.worldbank.org,cli-likely,7246610,1385376,openknowledge_worldbank_org_c1ea9fb1,https://openknowledge.worldbank.org/server/api/core/bitstreams/44b007f9-c278-532e-b752-11546fd932ee/content
ok,cached,1,RAND Corporation,"Water Management, Partnerships, Rights, and Market Trends",www.rand.org,unknown,17159115,1082952,www_rand_org_e2602c09,https://www.rand.org/content/dam/rand/pubs/research_reports/RR900/RR933/RAND_RR933.pdf
ok,cached,1,Natural Resources Defense Council (NRDC),Petition to the EPA to Revise the Regulations for Aquifer Exemptions under the S,www.nrdc.org,unknown,2827536,229899,www_nrdc_org_a2f84e5f,https://www.nrdc.org/sites/default/files/wat_16032201a.pdf
ok,cached,2,Washington State Department of Ecology,Predicted Impacts of Climate Change on Groundwater Resources of Washington State,apps.ecology.wa.gov,unknown,1496541,373626,apps_ecology_wa_gov_f1a04e6c,https://apps.ecology.wa.gov/publications/documents/1603006.pdf
ok,cached,3,National Academies Press,Extending Science: NASA's Space Science Mission Extensions and the Senior Review,www.nap.edu,unknown,408976,18536,www_nap_edu_1e62880b,https://www.nap.edu/download/23624
ok,cached,2,Organisation for Economic Co-operation and Development (OECD),Les périls du tarissement,www.oecd.org,unknown,7371251,789766,www_oecd_org_09abac63,https://www.oecd.org/content/dam/oecd/fr/publications/reports/2015/09/drying-wells-rising-stakes_g1g575de/9789264248427-fr.pdf
ok,cached,2,Organisation for Economic Co-operation and Development (OECD),"Drying Wells, Rising Stakes",www.oecd.org,unknown,7201193,634096,www_oecd_org_aaf6a2a4,https://www.oecd.org/content/dam/oecd/en/publications/reports/2015/09/drying-wells-rising-stakes_g1g575de/9789264238701-en.pdf
ok,cached,1,Union of Concerned Scientists,Measuring What Matters Setting Measurable Objectives to Achieve Sustainable Grou,www.ucsusa.org,unknown,2220525,194289,www_ucsusa_org_ee596665,https://www.ucsusa.org/sites/default/files/attach/2015/09/measuring-what-matters-california-sustainable-groundwater-report.pdf
ok,cached,1,Congressional Research Service,Irrigation in U.S. Agriculture: On-Farm Technologies and Best Management Practic,crsreports.congress.gov,unknown,3007710,103282,crsreports_congress_gov_00331022,https://crsreports.congress.gov/product/pdf/download/R/R44158/R44158.pdf/
ok,cached,1,Chatham House,The Euphrates in Crisis: Channels of Cooperation for a Threatened River,www.chathamhouse.org,unknown,1599726,192612,www_chathamhouse_org_e2aec459,https://www.chathamhouse.org/sites/files/chathamhouse/field/field_document/20150413Euphrates_0.pdf
ok,cached,2,Food and Agriculture Organization of the United Nations,Climate Change and Food Systems: Global assessments and implications for food se,openknowledge.fao.org,unknown,31605314,1526118,openknowledge_fao_org_93c1d719,https://openknowledge.fao.org/server/api/core/bitstreams/88db916e-01b8-4d3e-92d1-d64e74978d41/content
ok,cached,1,National Academies Press,Critical Role of Animal Science Research in Food Security and Sustainability,www.nap.edu,unknown,4704295,1714226,www_nap_edu_bf8f52e1,https://www.nap.edu/download/19000
ok,cached,1,National Academies Press,A Framework for Assessing Effects of the Food System,www.nap.edu,unknown,11354092,1487041,www_nap_edu_c890c72d,https://www.nap.edu/download/18846
ok,cached,1,Food and Agriculture Organization of the United Nations,Global Diagnostic on Groundwater Governance,openknowledge.fao.org,unknown,10984724,469648,openknowledge_fao_org_256e809d,https://openknowledge.fao.org/server/api/core/bitstreams/ab609e18-563d-43d9-87b0-874ce3b5de91/content
ok,cached,2,World Meteorological Organization (WMO),Status of the Global Observing System for Climate,library.wmo.int,unknown,10699290,1097462,library_wmo_int_42a7eca3,https://library.wmo.int/viewer/54812/download?file=gcos_195_en.pdf&type=pdf&navigator=1
ok,cached,1,Food and Agriculture Organization of the United Nations,Towards a water and food secure future,openknowledge.fao.org,unknown,1269318,214977,openknowledge_fao_org_71a32d27,https://openknowledge.fao.org/server/api/core/bitstreams/8af6f4fb-a159-4e83-b4da-90abf8aee3b7/content
fail,landing-page (no pdf link found),1,World Bank,Republic of India : Accelerating Agricultural Productivity Growth,www-wds.worldbank.org,unknown,0,0,www_wds_worldbank_org_4f146fc4,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2015/01/14/000442464_20150114081222/Rendered/PDF/880930REVISED00ivity0Growth00PUBLIC.pdf
ok,cached,1,World Bank,Republic of India : Accelerating Agricultural Productivity Growth,openknowledge.worldbank.org,cli-likely,8144568,1245634,openknowledge_worldbank_org_d3a6f22f,https://openknowledge.worldbank.org/server/api/core/bitstreams/604a71bb-0099-529f-8c5b-cd5c46e60df9/content
ok,cached,1,African Centre for the Constructive Resolution of Disputes (ACCORD),Conflict-sensitive Adaptation to Climate Change in Africa,africaportal.org,unknown,5376443,938160,africaportal_org_71507532,https://africaportal.org/wp-content/uploads/2023/05/Conflict_Adaptation_1.pdf
ok,cached,1,U.S. Global Change Research Program (USGCRP),Climate Change Impacts in the United States: The Third National Climate Assessme,nca2014.globalchange.gov,unknown,37768828,4720525,nca2014_globalchange_gov_5edfb0c1,https://nca2014.globalchange.gov/downloads/high/NCA3_Climate_Change_Impacts_in_the_United%20States_HighRes.pdf
fail,request-error: ConnectTimeout,1,Indian Institute of Water Management,Groundwater Assessment in Kathajodi-Surua Inter-Basin for Sustainable Water Reso,www.iiwm.res.in,unknown,0,0,www_iiwm_res_in_5a4c10aa,http://www.iiwm.res.in/pdf/Bulletin_65.pdf
ok,cached,1,International Union for Conservation of Nature,The status and distribution of freshwater biodiversity in the eastern Mediterran,portals.iucn.org,unknown,10624188,927658,portals_iucn_org_69dad996,https://portals.iucn.org/library/sites/library/files/documents/RL-262.2-001.pdf
ok,cached,1,World Bank,"Turn Down the Heat : Climate Extremes, Regional Impacts, and the Case for Resili",openknowledge.worldbank.org,cli-likely,8480277,1348219,openknowledge_worldbank_org_e9f8e265,https://openknowledge.worldbank.org/server/api/core/bitstreams/f88804a9-418d-5245-b2fb-e6d3a68af0d5/content
ok,cached,1,Intergovernmental Panel on Climate Change,Managing the Risks of Extreme Events and Disasters to Advance Climate Change Ada,www.ipcc.ch,unknown,32571946,5345919,www_ipcc_ch_17af7702,https://www.ipcc.ch/site/assets/uploads/2018/03/SREX_Full_Report-1.pdf
ok,cached,1,Asian Development Bank,Asia's Wicked Environmental Problems,www.adb.org,unknown,844173,195995,www_adb_org_12ed88dc,https://www.adb.org/sites/default/files/publication/156203/adbi-wp348.pdf
ok,cached,1,National Academies Press,Sustainable Water and Environmental Management in the California Bay-Delta,www.nap.edu,unknown,6844880,903449,www_nap_edu_e70f7a62,https://www.nap.edu/download/13394
ok,cached,1,UNESCO,United Nations world water development report 4: managing water under uncertaint,unesdoc.unesco.org,cloudflare-blocked,48390329,4954910,unesdoc_unesco_org_a7125f5e,http://unesdoc.unesco.org/images/0021/002156/215644e.pdf
ok,cached,1,Food and Agriculture Organization of the United Nations,South Asian forests and forestry to 2020,openknowledge.fao.org,unknown,1880747,502313,openknowledge_fao_org_91090dfd,https://openknowledge.fao.org/server/api/core/bitstreams/3df66a26-1882-49ef-9b55-62236dbfea64/content
ok,cached,1,World Bank,Adapting to Climate Change : Assessing World Bank Group Experience--Phase III of,openknowledge.worldbank.org,cli-likely,4288722,625705,openknowledge_worldbank_org_8816510f,https://openknowledge.worldbank.org/server/api/core/bitstreams/e3c2bb41-ea57-5318-b6d1-9cdaf1b1d6c6/content
ok,cached,1,World Meteorological Organization (WMO),Report of the 5th GTN-H Coordination Panel Meeting,library.wmo.int,unknown,1541930,65110,library_wmo_int_a86e7278,https://library.wmo.int/viewer/48842/download?file=gcos-162.pdf&type=pdf&navigator=1
ok,cached,1,World Bank,Climate Risk Case Study,openknowledge.worldbank.org,cli-likely,2650399,214574,openknowledge_worldbank_org_940336f8,https://openknowledge.worldbank.org/server/api/core/bitstreams/beb9925b-2667-53ad-976a-32c1df640a86/content
