aquifer_idx,Study_area,n_cells,tau_true_cm_yr,tau_gw_cm_yr,tau_stipulated_cm_yr,aux_era5_cm_yr,aux_gldas_cm_yr
30,Northern Karoo Basin (Main Karoo Basin),32,-0.11281851869420041,0.18895600525731043,0.0529,-0.30177452395151083,-0.30177452383951364
31,Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System),36,-0.3854601074722623,-0.18070667275693555,-0.2457,-0.20475343471532673,-0.20475343479944333
32,Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin),25,1.0110818600772191,1.0299471710419803,1.4324000000000001,-0.018865310964761184,-0.01886531024163627
33,Central Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),27,-0.17851934634807154,-0.06431457073397735,-0.0703,-0.11420477561409419,-0.11420477599378354
34,Central Huaihe Plain (Huaihe River Basin),29,-0.5898925299425574,-0.4940113877999973,-0.6839000000000001,-0.09588114214256005,-0.0958811420626783
35,Central Minnesota Surficial and Buried Sand and Gravel Aquifers,38,0.6531763040547738,1.0059983918153927,1.2784,-0.35282208776061896,-0.35282208699579765
36,Southern High Plains (High Plains),30,-0.4354435146543328,-0.3070193359817802,-0.3659,-0.12842417867255257,-0.12842417841663506
37,Southcentral Karoo Basin (Main Karoo Basin),27,-0.6252009483305707,-0.45633776646933766,-1.2077,-0.16886318186123306,-0.16886318150239565
38,Central High Plains (High Plains),28,-1.2965091072367527,-1.1960471046001957,-1.7983,-0.10046200263655702,-0.10046200271379874
39,Lower Liaohe River Plain (Liaohe River Basin),29,0.36653336904314626,-0.04717559108336694,-0.056,0.4137089601265132,0.4137089606303868
40,Wadi As-Sirhan Basin,25,0.302809209715908,0.051206611147540756,0.07440000000000001,0.25160259856836725,0.2516025989013945
41,Eastern Saq Aquifer (Ram-Saq Aquifer System),25,-0.9119449288842162,-0.9433720967529915,-1.5162,0.03142716786877531,0.031427167466900066
42,Trinity Aquifer System (Edwards-Trinity Aquifer System),25,-0.10090816510862625,0.11199793262957111,0.1849,-0.21290609773819735,-0.21290609776564293
43,Wisconsin Precambrian Aquifer,29,-0.006398428659824201,0.18004557093885717,0.165,-0.18644399959868138,-0.18644399970942754
44,Lafayette Area (Gulf Coast Regional Aquifer System),26,-2.011725938811447,-1.9142363113934535,-2.8342,-0.0974896274179935,-0.09748962566298676
45,Paskapoo-Scollard,36,-0.26150172871157634,0.04165944470134035,0.059300000000000005,-0.3031611734129167,-0.3031611730565281
46,Western Surat Basin (Great Artesian Basin),23,1.3201728051512664,1.3569690750129513,2.1328,-0.03679626986168483,-0.03679626971130876
47,Coonamble Embayment (Great Artesian Basin),25,0.2643548784893125,0.19437015683000733,0.1242,0.06998472165930517,0.06998472171072698
48,Mimosa Syncline and Eastern Surat Basin (Great Artesian Basin),22,0.2906722394035913,0.43813805455388993,0.38730000000000003,-0.1474658151502986,-0.14746581527434366
49,Wuyuer-Shuangyang System (Songnen Plain),29,0.22722798940790176,-0.3000908159231392,-0.4339,0.5273188053310409,0.5273188054063763
50,Powder River Basin (Northern Great Plains),29,-0.2457432922725365,-0.19894051636248694,-0.3457,-0.046802775910049554,-0.04680277594041327
51,Central Eucla Basin (Eucla Basin),23,0.356135458407367,0.4438649379581119,0.7663000000000001,-0.0877294795507449,-0.08772947973547134
52,Rio Grande Delta (Gulf Coast Regional Aquifer System),21,-0.15466754174949607,0.14628564809747185,0.23220000000000002,-0.30095318984696795,-0.3009531895076426
53,Michigan Basin,25,-0.26124621071180104,0.0660469979188783,0.0935,-0.32729320863067934,-0.3272932089563803
54,Southern Piedmont Upland (Piedmont Plateau),24,0.31044651889860286,0.326122478239541,0.5147,-0.015675959340938128,-0.015675959677654967
55,Eastern Huaihe Plain (Huaihe River Basin),26,-0.1340275764927212,-0.1734264895275139,0.06280000000000001,0.039398913034792704,0.03939891311204614
56,Northern Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),22,-0.14879902024352334,-0.10876327456664382,-0.1559,-0.04003574567687952,-0.040035744865474204
57,Eastern Mississippi Embayment (Mississippi Embayment),22,0.39564385143529596,0.5072840854520093,0.4862,-0.11164023401671336,-0.11164023352830116
58,Western Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),28,0.43666713260039364,0.5223674530042338,0.6461,-0.08570032040384018,-0.0857003198272397
59,Southeastern System (Amadeus Basin),22,-1.1914357903598218,-1.0290272125147784,-1.6049,-0.16240857784504348,-0.1624085776270546
60,Edwards Plateau (Edwards-Trinity Aquifer System),22,-0.30503631841304624,0.056068049813020465,0.0989,-0.36110436822606673,-0.3611043683971461
61,Southcentral Deccan Basalt Plateau (Deccan Plateau),18,-0.2517881102307024,-0.2541245299629663,-0.41000000000000003,0.0023364197322638947,0.002336419841106562
62,Eastside Lower Indus Valley (Indus Basin),21,0.40783948181609364,0.19861463124545803,0.2601,0.2092248505706356,0.2092248505893303
63,Central Piedmont Upland (Piedmont Plateau),22,-0.046393637244263077,0.04695916637267958,0.0664,-0.09335280361694265,-0.09335280374017779
64,Eastern Carrizo-Wilcox (Carrizo-Wilcox),21,-0.6459788504321188,-0.6170792344084117,-0.5767,-0.028899616023707053,-0.028899616300857946
65,Jiangsu Coastal Plain (Huaihe River Basin),21,-1.4631674294677541,-1.5207425602650395,-2.3897,0.05757513079728538,0.0575751312755277
66,Eastern Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),22,-0.1957065039173298,-0.05311859069025701,-0.1047,-0.1425879132270728,-0.1425879125420452
67,Northcentral Deccan Basalt Plateau (Deccan Plateau),19,0.06914541086010274,0.04315715702334127,0.11080000000000001,0.025988253836761475,0.02598825399764876
68,Eastside Middle Indus Plain (Indus Basin),19,1.6136779275563526,1.3985847861696201,2.2576,0.21509314138673252,0.2150931398955533
69,Central Allegheny Plateau (Appalachian Plateaus),21,-0.7719346757571126,-0.6220861317640294,-0.962,-0.14984854399308323,-0.149848543100651
70,Northeastern Karoo Basin (Main Karoo Basin),20,0.18380071671341727,0.6046231541369051,0.9089,-0.4208224374234879,-0.4208224375483558
71,Southern Riverine Plains (Murray Basin),19,-0.018193718864989484,-0.1422844951368556,-0.21930000000000002,0.12409077627186611,0.12409077630945643
72,Black Warrior River Aquifer System (Eutaw and McShan Formations and Tuscaloosa Group),20,-0.31054964444207445,-0.2539643312573074,-0.6104,-0.05658531318476706,-0.05658531355909579
