aquifer_idx,Study_area,n_cells,tau_true_cm_yr,tau_stipulated_cm_yr
26,Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),39,0.03670166932497634,0.0883
27,Trans Gangetic Plain (Indo-Gangetic Plain),40,-0.5643034055899904,-1.0779
28,Southcentral Mega Aquifer System (Mega Aquifer System),32,-0.10476500422430107,-0.2753
29,Central Mississippi Embayment (Mississippi Embayment),36,-2.1628239231719486,-2.5295
30,Northern Karoo Basin (Main Karoo Basin),32,-0.11281852152484358,0.0529
31,Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System),36,-0.3718981563946767,-0.2457
32,Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin),25,-1.0272487359209348,-1.4324
33,Central Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),27,-0.15321726216094458,-0.0703
34,Central Huaihe Plain (Huaihe River Basin),29,-0.5898344990641796,-0.6839
35,Central Minnesota Surficial and Buried Sand and Gravel Aquifers,38,0.6531763172547694,1.2784
36,Southern High Plains (High Plains),30,-0.4354435270946855,-0.3659
37,Southcentral Karoo Basin (Main Karoo Basin),27,-0.6252009467694447,-1.2077
38,Central High Plains (High Plains),28,-1.296509111511538,-1.7983
39,Lower Liaohe River Plain (Liaohe River Basin),29,0.3886757704074623,-0.056
40,Wadi As-Sirhan Basin,25,0.2017573923375699,-0.0744
41,Eastern Saq Aquifer (Ram-Saq Aquifer System),25,0.9760536515900105,1.5162
42,Trinity Aquifer System (Edwards-Trinity Aquifer System),25,-0.33757006474617396,-0.1849
43,Wisconsin Precambrian Aquifer,29,-0.005831793747544418,0.165
44,Lafayette Area (Gulf Coast Regional Aquifer System),26,1.7438551768663286,2.8342
45,Paskapoo-Scollard,36,-0.34343533889841155,-0.0593
46,Western Surat Basin (Great Artesian Basin),23,1.3201728138610296,2.1328
47,Coonamble Embayment (Great Artesian Basin),25,0.26435487701345184,0.1242
48,Mimosa Syncline and Eastern Surat Basin (Great Artesian Basin),22,0.29067224196054836,0.3873
49,Wuyuer-Shuangyang System (Songnen Plain),29,0.825986572771938,0.4339
50,Powder River Basin (Northern Great Plains),29,-0.24574329525980337,-0.3457
51,Central Eucla Basin (Eucla Basin),23,0.3571236053184117,0.7663
52,Rio Grande Delta (Gulf Coast Regional Aquifer System),21,-0.1546675381634473,0.2322
53,Michigan Basin,25,-0.2612461985205695,0.0935
54,Southern Piedmont Upland (Piedmont Plateau),24,0.3525955127750828,0.5147
55,Eastern Huaihe Plain (Huaihe River Basin),26,0.17340530686989658,0.0628
56,Northern Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),22,-0.14858126183770173,-0.1559
57,Eastern Mississippi Embayment (Mississippi Embayment),22,-0.6171456622631104,-0.4862
58,Western Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),28,0.44710288279010024,0.6461
59,Southeastern System (Amadeus Basin),22,-1.191394919525604,-1.6049
60,Edwards Plateau (Edwards-Trinity Aquifer System),22,-0.3058137815577734,0.0989
61,Southcentral Deccan Basalt Plateau (Deccan Plateau),18,0.25096978825359095,0.41
62,Eastside Lower Indus Valley (Indus Basin),21,0.3432888412657549,0.2601
63,Central Piedmont Upland (Piedmont Plateau),22,-0.04639364197452713,0.0664
64,Eastern Carrizo-Wilcox (Carrizo-Wilcox),21,-0.20210854430192002,-0.5767
65,Jiangsu Coastal Plain (Huaihe River Basin),21,1.5897381117045595,2.3897
66,Eastern Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),22,-0.058127607774788544,0.1047
67,Northcentral Deccan Basalt Plateau (Deccan Plateau),19,-0.01710806411982712,-0.1108
68,Eastside Middle Indus Plain (Indus Basin),19,-1.1739527831213172,-2.2576
69,Central Allegheny Plateau (Appalachian Plateaus),21,-0.7719346792469689,-0.962
70,Northeastern Karoo Basin (Main Karoo Basin),20,0.1838007142179824,0.9089
71,Southern Riverine Plains (Murray Basin),19,-0.018193714014103562,-0.2193
72,Black Warrior River Aquifer System (Eutaw and McShan Formations and Tuscaloosa Group),20,0.24177490183151332,0.6104
