aquifer_idx,Study_area,n_cells,tau_true_cm_yr,tau_stipulated_cm_yr
42,Trinity Aquifer System (Edwards-Trinity Aquifer System),25,-0.3379379363861314,-0.1849
43,Wisconsin Precambrian Aquifer,29,-0.36549632138642274,-0.165
44,Lafayette Area (Gulf Coast Regional Aquifer System),26,-2.0967433954764325,-2.8342
45,Paskapoo-Scollard,36,-0.34343533889841155,-0.0593
46,Western Surat Basin (Great Artesian Basin),23,-1.6219397245481963,-2.1328
47,Coonamble Embayment (Great Artesian Basin),25,-0.13020915134770605,-0.1242
48,Mimosa Syncline and Eastern Surat Basin (Great Artesian Basin),22,-0.5888347578941285,-0.3873
49,Wuyuer-Shuangyang System (Songnen Plain),29,0.2272279906805478,-0.4339
50,Powder River Basin (Northern Great Plains),29,-0.336585801244893,-0.3457
51,Central Eucla Basin (Eucla Basin),23,-0.5314101046375397,-0.7663
52,Rio Grande Delta (Gulf Coast Regional Aquifer System),21,-0.4459809950360106,-0.2322
53,Michigan Basin,25,-0.3919387812635164,-0.0935
54,Southern Piedmont Upland (Piedmont Plateau),24,-0.38267909937547906,-0.5147
55,Eastern Huaihe Plain (Huaihe River Basin),26,-0.21760870389738696,-0.0628
56,Northern Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),22,-0.149561948357126,-0.1559
57,Eastern Mississippi Embayment (Mississippi Embayment),22,-0.7910398655639045,-0.4862
58,Western Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),28,-0.6192729030561765,-0.6461
59,Southeastern System (Amadeus Basin),22,-1.2281044385081759,-1.6049
60,Edwards Plateau (Edwards-Trinity Aquifer System),22,-0.4373753673923045,-0.0989
61,Southcentral Deccan Basalt Plateau (Deccan Plateau),18,-0.2646047892598937,-0.41
62,Eastside Lower Indus Valley (Indus Basin),21,0.011916221421996784,-0.2601
63,Central Piedmont Upland (Piedmont Plateau),22,-0.1390701413699238,-0.0664
64,Eastern Carrizo-Wilcox (Carrizo-Wilcox),21,-0.65488580532168,-0.5767
65,Jiangsu Coastal Plain (Huaihe River Basin),21,-1.4731702025337101,-2.3897
66,Eastern Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),22,-0.2788455204578717,-0.1047
67,Northcentral Deccan Basalt Plateau (Deccan Plateau),19,-0.06203830918650741,-0.1108
68,Eastside Middle Indus Plain (Indus Basin),19,-1.1821725415771116,-2.2576
69,Central Allegheny Plateau (Appalachian Plateaus),21,-0.7719460689768728,-0.962
70,Northeastern Karoo Basin (Main Karoo Basin),20,-1.0328390583176184,-0.9089
71,Southern Riverine Plains (Murray Basin),19,-0.018193714014103562,-0.2193
72,Black Warrior River Aquifer System (Eutaw and McShan Formations and Tuscaloosa Group),20,-0.5248641612870879,-0.6104
