aquifer_idx,Study_area,n_cells,tau_true_cm_yr,tau_gw_cm_yr,tau_stipulated_cm_yr,aux_era5_cm_yr,aux_gldas_cm_yr
52,Rio Grande Delta (Gulf Coast Regional Aquifer System),21,-0.39523406033730246,-0.14502780047193814,-0.23220000000000002,-0.2502062598653643,-0.3009531895076426
53,Michigan Basin,25,-0.05954411719457516,-0.0646455762359169,-0.0935,0.005101459041341731,-0.3272932089563803
54,Southern Piedmont Upland (Piedmont Plateau),24,-0.24116066371869765,-0.3670031478621886,-0.5147,0.12584248414349092,-0.015675959677654967
55,Eastern Huaihe Plain (Huaihe River Basin),26,-0.6828404802141119,-0.2570076178755077,-0.06280000000000001,-0.42583286233860423,0.03939891311204614
56,Northern Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),22,0.6794112602758958,-0.1095262031000719,-0.1559,0.7889374633759677,-0.040035744865474204
57,Eastern Mississippi Embayment (Mississippi Embayment),22,-0.6209592642370279,-0.6793996380636788,-0.4862,0.058440373826650904,-0.11164023352830116
58,Western Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),28,-0.3140486827581216,-0.533572579262345,-0.6461,0.21952389650422344,-0.0857003198272397
59,Southeastern System (Amadeus Basin),22,-1.2720403752887515,-1.0656958514749275,-1.6049,-0.20634452381382395,-0.1624085776270546
60,Edwards Plateau (Edwards-Trinity Aquifer System),22,-0.20067470548605854,-0.07627099835419424,-0.0989,-0.1244037071318643,-0.3611043683971461
61,Southcentral Deccan Basalt Plateau (Deccan Plateau),18,0.5174789394349077,-0.26694121473276305,-0.41000000000000003,0.7844201541676707,0.002336419841106562
62,Eastside Lower Indus Valley (Indus Basin),21,0.010822252000269008,-0.19730862623893408,-0.2601,0.2081308782392031,0.2092248505893303
63,Central Piedmont Upland (Piedmont Plateau),22,-0.08239854673739039,-0.045717336934691016,-0.0664,-0.03668120980269937,-0.09335280374017779
64,Eastern Carrizo-Wilcox (Carrizo-Wilcox),21,-0.3040653423906586,-0.6259861976952775,-0.5767,0.32192085530461895,-0.028899616300857946
65,Jiangsu Coastal Plain (Huaihe River Basin),21,-1.6444956041530625,-1.5307453385239778,-2.3897,-0.11375026562908475,0.0575751312755277
66,Eastern Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),22,-0.007487981136090166,-0.13625760314876983,-0.1047,0.12876962201267966,-0.1425879125420452
67,Northcentral Deccan Basalt Plateau (Deccan Plateau),19,0.42971115792781905,-0.08802656200175944,-0.11080000000000001,0.5177377199295785,0.02598825399764876
68,Eastside Middle Indus Plain (Indus Basin),19,-1.1321905042746867,-1.397265697547137,-2.2576,0.2650751932724502,0.2150931398955533
69,Central Allegheny Plateau (Appalachian Plateaus),21,-0.707622101595766,-0.6220975350143404,-0.962,-0.0855245665814256,-0.149848543100651
70,Northeastern Karoo Basin (Main Karoo Basin),20,-0.7467405348015784,-0.6120166200317728,-0.9089,-0.1347239147698056,-0.4208224375483558
71,Southern Riverine Plains (Murray Basin),19,0.04209930122705478,-0.1422844951368556,-0.21930000000000002,0.1843837963639104,0.12409077630945643
72,Black Warrior River Aquifer System (Eutaw and McShan Formations and Tuscaloosa Group),20,-0.42930246312562037,-0.46827883932779546,-0.6104,0.03897637620217509,-0.05658531355909579
