umbrella_short,n_sub_basins_in_cohort,new_regime,n_candidates,n_dedicated,n_regional,n_incidental,n_off_topic,smoking_gun_author,smoking_gun_year,smoking_gun_citations,smoking_gun_title,source,sub_basins
Piedmont,2,D (regional papers only; stays latent),9,0,5,0,4,,,0,,Option B (per-aquifer OpenAlex expansion),Central Piedmont Upland (Piedmont Plateau) | Southern Piedmont Upland (Piedmont Plateau)
Amadeus,1,D (zero coverage; ironclad latent),0,0,0,0,0,,,0,,Option B OpenAlex returned 0 hits,Southeastern System (Amadeus Basin)
Appalachian Plateaus,1,D (zero coverage; ironclad latent),0,0,0,0,0,,,0,,Option B OpenAlex returned 0 hits,Central Allegheny Plateau (Appalachian Plateaus)
Carrizo-Wilcox,1,D (zero coverage; ironclad latent),0,0,0,0,0,,,0,,Option B OpenAlex returned 0 hits,Eastern Carrizo-Wilcox (Carrizo-Wilcox)
Central Minnesota Surficial and Buried Sand and Gravel Aquifers,1,D (zero coverage; ironclad latent),0,0,0,0,0,,,0,,Option B OpenAlex returned 0 hits,Central Minnesota Surficial and Buried Sand and Gravel Aquifers
Daly-Wiso-Georgina Basins,1,D (zero coverage; ironclad latent),0,0,0,0,0,,,0,,Option B OpenAlex returned 0 hits,Wiso Basin (Daly-Wiso-Georgina Basins)
Eucla,1,D (zero coverage; ironclad latent),0,0,0,0,0,,,0,,Option B OpenAlex returned 0 hits,Central Eucla Basin (Eucla Basin)
Eutaw and McShan Formations and Tuscaloosa Group,1,D (zero coverage; ironclad latent),0,0,0,0,0,,,0,,Option B OpenAlex returned 0 hits,Black Warrior River Aquifer System (Eutaw and McShan Formations and Tuscaloosa Group)
Gulf Coast Regional,2,D (zero coverage; ironclad latent),0,0,0,0,0,,,0,,Option B OpenAlex returned 0 hits,Lafayette Area (Gulf Coast Regional Aquifer System) | Rio Grande Delta (Gulf Coast Regional Aquifer System)
Northern Great Plains,2,D (zero coverage; ironclad latent),0,0,0,0,0,,,0,,Option B OpenAlex returned 0 hits,Williston Basin (Northern Great Plains) | Powder River Basin (Northern Great Plains)
Northern Midwest,3,D (zero coverage; ironclad latent),0,0,0,0,0,,,0,,Option B OpenAlex returned 0 hits,Western Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System) | Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System) | Eastern Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System)
Parecis,1,D (zero coverage; ironclad latent),0,0,0,0,0,,,0,,Option B OpenAlex returned 0 hits,Eastern Parecis Basin (Parecis Basin)
Parnaiba,1,D (zero coverage; ironclad latent),0,0,0,0,0,,,0,,Option B OpenAlex returned 0 hits,Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin)
Paskapoo-Scollard,1,D (zero coverage; ironclad latent),0,0,0,0,0,,,0,,Option B OpenAlex returned 0 hits,Paskapoo-Scollard
Stampriet Kalahari Karoo,1,D (zero coverage; ironclad latent),0,0,0,0,0,,,0,,Option B OpenAlex returned 0 hits,Stampriet Kalahari Karoo Aquifer System
Wisconsin Precambrian,1,D (zero coverage; ironclad latent),0,0,0,0,0,,,0,,Option B OpenAlex returned 0 hits,Wisconsin Precambrian Aquifer
